County,Registered Voters,Al Bartell (Ind)_Election Day Votes,Al Bartell (Ind)_Advanced Voting Votes,Al Bartell (Ind)_Absentee by Mail Votes,Al Bartell (Ind)_Provisional Votes,Al Bartell (Ind)_Choice Total,Allen Buckley (Ind)_Election Day Votes,Allen Buckley (Ind)_Advanced Voting Votes,Allen Buckley (Ind)_Absentee by Mail Votes,Allen Buckley (Ind)_Provisional Votes,Allen Buckley (Ind)_Choice Total,Doug Collins (Rep)_Election Day Votes,Doug Collins (Rep)_Advanced Voting Votes,Doug Collins (Rep)_Absentee by Mail Votes,Doug Collins (Rep)_Provisional Votes,Doug Collins (Rep)_Choice Total,John Fortuin (Grn)_Election Day Votes,John Fortuin (Grn)_Advanced Voting Votes,John Fortuin (Grn)_Absentee by Mail Votes,John Fortuin (Grn)_Provisional Votes,John Fortuin (Grn)_Choice Total,Derrick E. Grayson (Rep)_Election Day Votes,Derrick E. Grayson (Rep)_Advanced Voting Votes,Derrick E. Grayson (Rep)_Absentee by Mail Votes,Derrick E. Grayson (Rep)_Provisional Votes,Derrick E. Grayson (Rep)_Choice Total,Michael Todd Greene (Ind)_Election Day Votes,Michael Todd Greene (Ind)_Advanced Voting Votes,Michael Todd Greene (Ind)_Absentee by Mail Votes,Michael Todd Greene (Ind)_Provisional Votes,Michael Todd Greene (Ind)_Choice Total,Annette Davis Jackson (Rep)_Election Day Votes,Annette Davis Jackson (Rep)_Advanced Voting Votes,Annette Davis Jackson (Rep)_Absentee by Mail Votes,Annette Davis Jackson (Rep)_Provisional Votes,Annette Davis Jackson (Rep)_Choice Total,Deborah Jackson (Dem)_Election Day Votes,Deborah Jackson (Dem)_Advanced Voting Votes,Deborah Jackson (Dem)_Absentee by Mail Votes,Deborah Jackson (Dem)_Provisional Votes,Deborah Jackson (Dem)_Choice Total,Jamesia James (Dem)_Election Day Votes,Jamesia James (Dem)_Advanced Voting Votes,Jamesia James (Dem)_Absentee by Mail Votes,Jamesia James (Dem)_Provisional Votes,Jamesia James (Dem)_Choice Total,A. Wayne Johnson (Rep)_Election Day Votes,A. Wayne Johnson (Rep)_Advanced Voting Votes,A. Wayne Johnson (Rep)_Absentee by Mail Votes,A. Wayne Johnson (Rep)_Provisional Votes,A. Wayne Johnson (Rep)_Choice Total,Tamara Johnson-Shealey (Dem)_Election Day Votes,Tamara Johnson-Shealey (Dem)_Advanced Voting Votes,Tamara Johnson-Shealey (Dem)_Absentee by Mail Votes,Tamara Johnson-Shealey (Dem)_Provisional Votes,Tamara Johnson-Shealey (Dem)_Choice Total,Matt Lieberman (Dem)_Election Day Votes,Matt Lieberman (Dem)_Advanced Voting Votes,Matt Lieberman (Dem)_Absentee by Mail Votes,Matt Lieberman (Dem)_Provisional Votes,Matt Lieberman (Dem)_Choice Total,Kelly Loeffler (I) (Rep)_Election Day Votes,Kelly Loeffler (I) (Rep)_Advanced Voting Votes,Kelly Loeffler (I) (Rep)_Absentee by Mail Votes,Kelly Loeffler (I) (Rep)_Provisional Votes,Kelly Loeffler (I) (Rep)_Choice Total,Joy Felicia Slade (Dem)_Election Day Votes,Joy Felicia Slade (Dem)_Advanced Voting Votes,Joy Felicia Slade (Dem)_Absentee by Mail Votes,Joy Felicia Slade (Dem)_Provisional Votes,Joy Felicia Slade (Dem)_Choice Total,Brian Slowinski (Lib)_Election Day Votes,Brian Slowinski (Lib)_Advanced Voting Votes,Brian Slowinski (Lib)_Absentee by Mail Votes,Brian Slowinski (Lib)_Provisional Votes,Brian Slowinski (Lib)_Choice Total,Valencia Stovall (Ind)_Election Day Votes,Valencia Stovall (Ind)_Advanced Voting Votes,Valencia Stovall (Ind)_Absentee by Mail Votes,Valencia Stovall (Ind)_Provisional Votes,Valencia Stovall (Ind)_Choice Total,Ed Tarver (Dem)_Election Day Votes,Ed Tarver (Dem)_Advanced Voting Votes,Ed Tarver (Dem)_Absentee by Mail Votes,Ed Tarver (Dem)_Provisional Votes,Ed Tarver (Dem)_Choice Total,Kandiss Taylor (Rep)_Election Day Votes,Kandiss Taylor (Rep)_Advanced Voting Votes,Kandiss Taylor (Rep)_Absentee by Mail Votes,Kandiss Taylor (Rep)_Provisional Votes,Kandiss Taylor (Rep)_Choice Total,Raphael Warnock (Dem)_Election Day Votes,Raphael Warnock (Dem)_Advanced Voting Votes,Raphael Warnock (Dem)_Absentee by Mail Votes,Raphael Warnock (Dem)_Provisional Votes,Raphael Warnock (Dem)_Choice Total,Richard Dien Winfield (Dem)_Election Day Votes,Richard Dien Winfield (Dem)_Advanced Voting Votes,Richard Dien Winfield (Dem)_Absentee by Mail Votes,Richard Dien Winfield (Dem)_Provisional Votes,Richard Dien Winfield (Dem)_Choice Total,Total Votes
Carroll,83847.0,48.0,56.0,28.0,2.0,134.0,58.0,78.0,46.0,0.0,182.0,4048.0,8423.0,1737.0,13.0,14221.0,51.0,71.0,30.0,0.0,152.0,245.0,319.0,83.0,2.0,649.0,55.0,89.0,19.0,1.0,164.0,193.0,309.0,52.0,1.0,555.0,462.0,1119.0,517.0,3.0,2101.0,137.0,378.0,145.0,0.0,660.0,190.0,261.0,30.0,1.0,482.0,176.0,430.0,145.0,1.0,752.0,233.0,562.0,227.0,0.0,1022.0,5811.0,11611.0,2739.0,6.0,20167.0,86.0,197.0,36.0,0.0,319.0,185.0,206.0,49.0,0.0,440.0,37.0,57.0,22.0,0.0,116.0,19.0,45.0,30.0,2.0,96.0,199.0,332.0,34.0,2.0,567.0,1835.0,5624.0,3220.0,9.0,10688.0,66.0,101.0,53.0,0.0,220.0,53687.0
Catoosa,45715.0,30.0,41.0,33.0,0.0,104.0,34.0,51.0,38.0,0.0,123.0,1570.0,5724.0,939.0,5.0,8238.0,33.0,59.0,26.0,0.0,118.0,212.0,522.0,97.0,0.0,831.0,56.0,120.0,36.0,1.0,213.0,183.0,490.0,59.0,3.0,735.0,216.0,824.0,367.0,1.0,1408.0,57.0,204.0,75.0,0.0,336.0,151.0,363.0,54.0,2.0,570.0,68.0,202.0,84.0,0.0,354.0,165.0,662.0,308.0,3.0,1138.0,2621.0,9187.0,1765.0,4.0,13577.0,56.0,133.0,21.0,0.0,210.0,139.0,183.0,30.0,2.0,354.0,26.0,49.0,11.0,0.0,86.0,19.0,88.0,63.0,0.0,170.0,164.0,393.0,40.0,2.0,599.0,292.0,1274.0,848.0,1.0,2415.0,23.0,64.0,48.0,0.0,135.0,31714.0
Charlton,6552.0,5.0,11.0,3.0,0.0,19.0,8.0,8.0,10.0,0.0,26.0,495.0,941.0,183.0,2.0,1621.0,4.0,4.0,1.0,0.0,9.0,66.0,95.0,20.0,0.0,181.0,10.0,9.0,2.0,0.0,21.0,39.0,38.0,12.0,0.0,89.0,69.0,193.0,82.0,0.0,344.0,18.0,32.0,15.0,0.0,65.0,54.0,71.0,9.0,0.0,134.0,29.0,35.0,14.0,0.0,78.0,23.0,53.0,23.0,0.0,99.0,346.0,614.0,135.0,0.0,1095.0,14.0,16.0,3.0,0.0,33.0,13.0,17.0,4.0,0.0,34.0,4.0,3.0,1.0,0.0,8.0,4.0,7.0,1.0,0.0,12.0,38.0,57.0,5.0,0.0,100.0,47.0,168.0,119.0,0.0,334.0,4.0,10.0,7.0,0.0,21.0,4323.0
Chatham,200388.0,159.0,116.0,130.0,1.0,406.0,190.0,137.0,172.0,1.0,500.0,5575.0,8285.0,4574.0,34.0,18468.0,157.0,131.0,187.0,9.0,484.0,466.0,413.0,222.0,9.0,1110.0,156.0,112.0,74.0,1.0,343.0,492.0,423.0,189.0,8.0,1112.0,2719.0,3834.0,2523.0,30.0,9106.0,711.0,1002.0,647.0,16.0,2376.0,368.0,287.0,103.0,1.0,759.0,1014.0,1510.0,749.0,10.0,3283.0,1105.0,1688.0,1115.0,4.0,3912.0,10470.0,12992.0,6976.0,34.0,30472.0,474.0,582.0,200.0,3.0,1259.0,455.0,326.0,196.0,7.0,984.0,124.0,117.0,90.0,1.0,332.0,97.0,174.0,253.0,1.0,525.0,350.0,349.0,138.0,5.0,842.0,11407.0,21398.0,21814.0,96.0,54715.0,161.0,207.0,229.0,3.0,600.0,131588.0
Chattahoochee,0.0,2.0,6.0,3.0,0.0,11.0,2.0,3.0,2.0,0.0,7.0,116.0,202.0,53.0,1.0,372.0,1.0,2.0,0.0,0.0,3.0,12.0,7.0,7.0,0.0,26.0,1.0,1.0,0.0,0.0,2.0,6.0,10.0,3.0,0.0,19.0,19.0,61.0,26.0,0.0,106.0,6.0,17.0,13.0,0.0,36.0,7.0,8.0,0.0,0.0,15.0,3.0,12.0,11.0,0.0,26.0,13.0,18.0,6.0,0.0,37.0,130.0,199.0,59.0,0.0,388.0,3.0,6.0,2.0,0.0,11.0,10.0,4.0,6.0,0.0,20.0,3.0,7.0,1.0,0.0,11.0,2.0,1.0,4.0,0.0,7.0,4.0,12.0,4.0,0.0,20.0,102.0,210.0,96.0,2.0,410.0,2.0,4.0,1.0,0.0,7.0,1534.0
Chattooga,14143.0,11.0,21.0,9.0,0.0,41.0,18.0,20.0,9.0,0.0,47.0,834.0,1660.0,388.0,1.0,2883.0,6.0,13.0,12.0,0.0,31.0,79.0,121.0,31.0,0.0,231.0,31.0,46.0,8.0,0.0,85.0,51.0,76.0,12.0,1.0,140.0,61.0,110.0,79.0,0.0,250.0,26.0,33.0,35.0,1.0,95.0,64.0,81.0,16.0,0.0,161.0,30.0,28.0,15.0,0.0,73.0,56.0,110.0,61.0,0.0,227.0,1149.0,2121.0,588.0,0.0,3858.0,13.0,24.0,10.0,0.0,47.0,32.0,29.0,9.0,0.0,70.0,9.0,11.0,3.0,0.0,23.0,2.0,9.0,7.0,0.0,18.0,72.0,165.0,22.0,0.0,259.0,217.0,507.0,404.0,1.0,1129.0,5.0,18.0,12.0,0.0,35.0,9703.0
Cherokee,190531.0,137.0,161.0,100.0,0.0,398.0,192.0,239.0,155.0,1.0,587.0,7309.0,20188.0,7369.0,8.0,34874.0,121.0,183.0,177.0,0.0,481.0,512.0,899.0,291.0,1.0,1703.0,138.0,157.0,79.0,1.0,375.0,548.0,900.0,284.0,0.0,1732.0,867.0,2618.0,1577.0,3.0,5065.0,255.0,546.0,337.0,0.0,1138.0,364.0,607.0,154.0,0.0,1125.0,335.0,634.0,410.0,1.0,1380.0,759.0,1798.0,1081.0,0.0,3638.0,13728.0,31965.0,11672.0,7.0,57372.0,192.0,440.0,147.0,0.0,779.0,699.0,703.0,311.0,0.0,1713.0,113.0,153.0,73.0,0.0,339.0,51.0,99.0,183.0,0.0,333.0,385.0,682.0,208.0,0.0,1275.0,3773.0,11759.0,11927.0,2.0,27461.0,93.0,196.0,183.0,0.0,472.0,142240.0
Clarke,76504.0,39.0,49.0,43.0,0.0,131.0,57.0,51.0,60.0,1.0,169.0,1209.0,2829.0,1748.0,6.0,5792.0,71.0,111.0,115.0,2.0,299.0,88.0,142.0,79.0,0.0,309.0,47.0,38.0,25.0,2.0,112.0,99.0,132.0,50.0,2.0,283.0,915.0,2127.0,1194.0,9.0,4245.0,259.0,496.0,261.0,2.0,1018.0,69.0,91.0,26.0,0.0,186.0,345.0,686.0,357.0,5.0,1393.0,342.0,791.0,470.0,0.0,1603.0,1840.0,3868.0,2316.0,7.0,8031.0,134.0,262.0,82.0,1.0,479.0,168.0,172.0,104.0,1.0,445.0,40.0,55.0,51.0,0.0,146.0,33.0,91.0,111.0,0.0,235.0,73.0,88.0,45.0,0.0,206.0,2932.0,10901.0,10723.0,12.0,24568.0,111.0,462.0,373.0,1.0,947.0,50597.0
Clay,2053.0,1.0,2.0,0.0,0.0,3.0,0.0,4.0,2.0,0.0,6.0,46.0,176.0,37.0,0.0,259.0,2.0,3.0,0.0,0.0,5.0,5.0,10.0,3.0,0.0,18.0,2.0,6.0,2.0,0.0,10.0,3.0,8.0,5.0,0.0,16.0,39.0,59.0,44.0,0.0,142.0,7.0,15.0,9.0,0.0,31.0,8.0,7.0,1.0,0.0,16.0,10.0,13.0,10.0,0.0,33.0,11.0,10.0,8.0,0.0,29.0,58.0,186.0,61.0,0.0,305.0,8.0,9.0,5.0,0.0,22.0,3.0,2.0,1.0,0.0,6.0,0.0,1.0,1.0,0.0,2.0,3.0,1.0,4.0,0.0,8.0,4.0,7.0,2.0,0.0,13.0,81.0,201.0,192.0,0.0,474.0,3.0,4.0,4.0,0.0,11.0,1409.0
Clayton,193326.0,113.0,104.0,112.0,3.0,332.0,81.0,105.0,126.0,4.0,316.0,915.0,2928.0,1501.0,17.0,5361.0,62.0,109.0,82.0,4.0,257.0,149.0,258.0,145.0,5.0,557.0,96.0,104.0,41.0,1.0,242.0,176.0,273.0,95.0,4.0,548.0,3315.0,7352.0,2980.0,91.0,13738.0,1032.0,2255.0,1080.0,30.0,4397.0,107.0,203.0,41.0,0.0,351.0,1102.0,2171.0,985.0,37.0,4295.0,750.0,1608.0,479.0,9.0,2846.0,1309.0,3592.0,2179.0,7.0,7087.0,568.0,1106.0,255.0,6.0,1935.0,127.0,128.0,72.0,0.0,327.0,260.0,584.0,278.0,3.0,1125.0,89.0,193.0,155.0,1.0,438.0,104.0,144.0,69.0,3.0,320.0,9552.0,35680.0,20214.0,235.0,65681.0,294.0,585.0,220.0,10.0,1109.0,111262.0
Clinch,4345.0,4.0,7.0,0.0,0.0,11.0,6.0,7.0,1.0,0.0,14.0,216.0,445.0,81.0,0.0,742.0,1.0,4.0,0.0,0.0,5.0,27.0,37.0,8.0,0.0,72.0,3.0,3.0,0.0,0.0,6.0,12.0,23.0,2.0,0.0,37.0,66.0,119.0,33.0,0.0,218.0,11.0,21.0,4.0,0.0,36.0,14.0,26.0,3.0,0.0,43.0,17.0,33.0,19.0,0.0,69.0,11.0,25.0,4.0,0.0,40.0,298.0,657.0,111.0,0.0,1066.0,9.0,7.0,1.0,0.0,17.0,4.0,5.0,2.0,0.0,11.0,4.0,2.0,0.0,0.0,6.0,7.0,3.0,2.0,0.0,12.0,17.0,16.0,5.0,0.0,38.0,67.0,116.0,56.0,0.0,239.0,5.0,6.0,7.0,0.0,18.0,2700.0
Cobb,537611.0,326.0,385.0,479.0,3.0,1193.0,419.0,476.0,662.0,12.0,1569.0,11438.0,27032.0,19338.0,55.0,57863.0,402.0,513.0,659.0,5.0,1579.0,850.0,1257.0,802.0,13.0,2922.0,343.0,426.0,290.0,6.0,1065.0,967.0,1506.0,850.0,13.0,3336.0,5423.0,13620.0,8676.0,80.0,27799.0,1745.0,4290.0,2445.0,30.0,8510.0,630.0,873.0,385.0,6.0,1894.0,1805.0,4204.0,2483.0,25.0,8517.0,2430.0,6040.0,4436.0,11.0,12917.0,22138.0,45108.0,31238.0,50.0,98534.0,1067.0,2400.0,707.0,5.0,4179.0,1337.0,1335.0,1012.0,8.0,3692.0,368.0,450.0,384.0,3.0,1205.0,230.0,572.0,824.0,0.0,1626.0,702.0,1012.0,544.0,8.0,2266.0,16398.0,60331.0,69202.0,150.0,146081.0,414.0,987.0,808.0,6.0,2215.0,388962.0
Coffee,25114.0,15.0,24.0,7.0,1.0,47.0,25.0,28.0,9.0,0.0,62.0,1098.0,3373.0,378.0,4.0,4853.0,7.0,16.0,6.0,0.0,29.0,84.0,138.0,16.0,1.0,239.0,12.0,29.0,1.0,0.0,42.0,41.0,77.0,7.0,0.0,125.0,191.0,457.0,173.0,0.0,821.0,58.0,129.0,47.0,0.0,234.0,60.0,108.0,11.0,1.0,180.0,97.0,149.0,54.0,0.0,300.0,76.0,180.0,51.0,0.0,307.0,1039.0,2840.0,445.0,0.0,4324.0,37.0,43.0,7.0,0.0,87.0,18.0,30.0,3.0,0.0,51.0,9.0,9.0,8.0,0.0,26.0,15.0,18.0,17.0,0.0,50.0,99.0,302.0,25.0,1.0,427.0,588.0,1315.0,549.0,3.0,2455.0,20.0,34.0,9.0,0.0,63.0,14722.0
Colquitt,25054.0,20.0,14.0,10.0,0.0,44.0,20.0,15.0,7.0,0.0,42.0,1508.0,2327.0,500.0,1.0,4336.0,17.0,10.0,3.0,0.0,30.0,88.0,103.0,24.0,0.0,215.0,6.0,25.0,5.0,0.0,36.0,49.0,68.0,15.0,2.0,134.0,164.0,308.0,181.0,2.0,655.0,30.0,89.0,43.0,0.0,162.0,50.0,77.0,9.0,1.0,137.0,55.0,106.0,67.0,0.0,228.0,72.0,123.0,65.0,0.0,260.0,2377.0,3380.0,799.0,6.0,6562.0,20.0,34.0,8.0,0.0,62.0,37.0,29.0,9.0,0.0,75.0,7.0,6.0,4.0,0.0,17.0,12.0,12.0,14.0,0.0,38.0,58.0,83.0,15.0,0.0,156.0,728.0,1114.0,688.0,1.0,2531.0,12.0,24.0,26.0,0.0,62.0,15782.0
Columbia,127380.0,87.0,111.0,75.0,1.0,274.0,102.0,124.0,77.0,0.0,303.0,4274.0,11213.0,2795.0,17.0,18299.0,82.0,101.0,73.0,0.0,256.0,315.0,458.0,134.0,2.0,909.0,94.0,105.0,36.0,0.0,235.0,300.0,451.0,115.0,0.0,866.0,728.0,2189.0,1178.0,5.0,4100.0,236.0,600.0,375.0,2.0,1213.0,249.0,352.0,71.0,1.0,673.0,282.0,625.0,328.0,3.0,1238.0,459.0,1100.0,494.0,1.0,2054.0,7728.0,16781.0,4073.0,24.0,28606.0,142.0,329.0,93.0,0.0,564.0,298.0,349.0,100.0,1.0,748.0,62.0,89.0,55.0,0.0,206.0,203.0,692.0,650.0,0.0,1545.0,227.0,365.0,93.0,0.0,685.0,2526.0,8227.0,5476.0,16.0,16245.0,90.0,186.0,109.0,1.0,386.0,79405.0
Cook,10632.0,3.0,10.0,6.0,0.0,19.0,8.0,14.0,10.0,0.0,32.0,377.0,1199.0,186.0,0.0,1762.0,3.0,7.0,3.0,0.0,13.0,31.0,63.0,9.0,0.0,103.0,6.0,7.0,5.0,0.0,18.0,16.0,47.0,5.0,0.0,68.0,114.0,194.0,92.0,0.0,400.0,28.0,55.0,23.0,0.0,106.0,16.0,40.0,4.0,0.0,60.0,36.0,53.0,17.0,0.0,106.0,43.0,77.0,25.0,0.0,145.0,616.0,1815.0,271.0,1.0,2703.0,16.0,24.0,10.0,0.0,50.0,16.0,19.0,4.0,0.0,39.0,3.0,6.0,3.0,0.0,12.0,10.0,19.0,16.0,0.0,45.0,29.0,90.0,6.0,0.0,125.0,275.0,538.0,272.0,0.0,1085.0,3.0,16.0,4.0,0.0,23.0,6914.0
Coweta,102110.0,77.0,59.0,61.0,0.0,197.0,85.0,71.0,76.0,0.0,232.0,6237.0,9049.0,3537.0,1.0,18824.0,67.0,69.0,76.0,1.0,213.0,423.0,396.0,122.0,0.0,941.0,67.0,45.0,33.0,0.0,145.0,329.0,342.0,124.0,0.0,795.0,707.0,1200.0,822.0,3.0,2732.0,206.0,300.0,230.0,1.0,737.0,269.0,255.0,65.0,0.0,589.0,237.0,386.0,248.0,2.0,873.0,395.0,668.0,462.0,1.0,1526.0,10210.0,13132.0,5583.0,2.0,28927.0,148.0,186.0,77.0,0.0,411.0,352.0,207.0,125.0,2.0,686.0,62.0,46.0,45.0,0.0,153.0,27.0,39.0,80.0,0.0,146.0,274.0,263.0,98.0,1.0,636.0,3485.0,6450.0,6652.0,6.0,16593.0,97.0,99.0,90.0,0.0,286.0,75642.0
Crawford,8512.0,6.0,6.0,5.0,0.0,17.0,12.0,15.0,9.0,0.0,36.0,431.0,1145.0,195.0,0.0,1771.0,4.0,4.0,1.0,0.0,9.0,23.0,48.0,6.0,0.0,77.0,5.0,3.0,2.0,0.0,10.0,8.0,19.0,3.0,0.0,30.0,27.0,102.0,50.0,0.0,179.0,16.0,23.0,16.0,0.0,55.0,23.0,39.0,2.0,0.0,64.0,7.0,35.0,11.0,0.0,53.0,21.0,47.0,19.0,0.0,87.0,594.0,1360.0,326.0,1.0,2281.0,8.0,17.0,3.0,0.0,28.0,14.0,13.0,2.0,0.0,29.0,1.0,4.0,0.0,0.0,5.0,1.0,4.0,5.0,0.0,10.0,17.0,30.0,8.0,0.0,55.0,184.0,586.0,401.0,1.0,1172.0,6.0,14.0,10.0,0.0,30.0,5998.0
Crisp,12554.0,10.0,16.0,8.0,0.0,34.0,3.0,9.0,5.0,0.0,17.0,395.0,1539.0,380.0,2.0,2316.0,4.0,5.0,2.0,0.0,11.0,27.0,50.0,12.0,0.0,89.0,9.0,4.0,0.0,0.0,13.0,15.0,33.0,8.0,0.0,56.0,140.0,280.0,148.0,1.0,569.0,26.0,59.0,33.0,0.0,118.0,12.0,28.0,5.0,0.0,45.0,35.0,74.0,40.0,0.0,149.0,25.0,78.0,29.0,0.0,132.0,464.0,1492.0,373.0,1.0,2330.0,26.0,32.0,15.0,0.0,73.0,9.0,14.0,4.0,0.0,27.0,2.0,5.0,3.0,0.0,10.0,6.0,12.0,4.0,0.0,22.0,29.0,50.0,8.0,1.0,88.0,289.0,918.0,531.0,0.0,1738.0,8.0,26.0,14.0,0.0,48.0,7885.0
Dade,11660.0,9.0,19.0,4.0,0.0,32.0,21.0,11.0,10.0,0.0,42.0,636.0,1188.0,236.0,3.0,2063.0,12.0,14.0,3.0,0.0,29.0,76.0,111.0,17.0,0.0,204.0,22.0,23.0,9.0,0.0,54.0,66.0,83.0,8.0,1.0,158.0,46.0,131.0,61.0,0.0,238.0,16.0,18.0,14.0,0.0,48.0,52.0,62.0,12.0,0.0,126.0,14.0,46.0,17.0,0.0,77.0,56.0,107.0,54.0,1.0,218.0,989.0,1750.0,348.0,1.0,3088.0,9.0,24.0,8.0,0.0,41.0,28.0,38.0,6.0,0.0,72.0,9.0,7.0,2.0,0.0,18.0,3.0,15.0,7.0,0.0,25.0,48.0,80.0,6.0,0.0,134.0,84.0,222.0,155.0,0.0,461.0,7.0,15.0,7.0,0.0,29.0,7157.0
Dawson,21529.0,6.0,18.0,6.0,0.0,30.0,16.0,14.0,8.0,0.0,38.0,1149.0,5080.0,1115.0,1.0,7345.0,7.0,8.0,5.0,0.0,20.0,51.0,117.0,23.0,0.0,191.0,13.0,13.0,7.0,0.0,33.0,53.0,92.0,18.0,0.0,163.0,30.0,143.0,87.0,0.0,260.0,11.0,37.0,32.0,0.0,80.0,42.0,114.0,12.0,0.0,168.0,11.0,44.0,23.0,0.0,78.0,43.0,155.0,67.0,1.0,266.0,943.0,3496.0,820.0,1.0,5260.0,17.0,27.0,6.0,0.0,50.0,38.0,73.0,15.0,0.0,126.0,7.0,19.0,5.0,0.0,31.0,3.0,12.0,12.0,0.0,27.0,39.0,96.0,19.0,0.0,154.0,121.0,669.0,716.0,0.0,1506.0,1.0,17.0,9.0,0.0,27.0,15853.0
DeKalb,546711.0,213.0,393.0,380.0,6.0,992.0,234.0,452.0,467.0,9.0,1162.0,3659.0,10266.0,6260.0,61.0,20246.0,229.0,536.0,509.0,9.0,1283.0,331.0,632.0,388.0,10.0,1361.0,215.0,398.0,165.0,12.0,790.0,395.0,817.0,406.0,20.0,1638.0,5662.0,19047.0,7978.0,247.0,32934.0,1838.0,5430.0,2147.0,101.0,9516.0,253.0,513.0,204.0,15.0,985.0,1783.0,6086.0,2388.0,88.0,10345.0,1818.0,7255.0,3048.0,26.0,12147.0,6719.0,17785.0,9846.0,74.0,34424.0,950.0,2960.0,527.0,24.0,4461.0,559.0,953.0,566.0,12.0,2090.0,221.0,553.0,304.0,9.0,1087.0,194.0,749.0,648.0,6.0,1597.0,229.0,490.0,189.0,9.0,917.0,20606.0,116533.0,88691.0,592.0,226422.0,467.0,1422.0,725.0,27.0,2641.0,367038.0
Decatur,16618.0,19.0,23.0,14.0,0.0,56.0,10.0,31.0,22.0,0.0,63.0,630.0,1994.0,365.0,2.0,2991.0,6.0,13.0,5.0,1.0,25.0,60.0,120.0,25.0,1.0,206.0,18.0,20.0,9.0,0.0,47.0,28.0,79.0,19.0,0.0,126.0,270.0,843.0,313.0,3.0,1429.0,53.0,155.0,87.0,2.0,297.0,34.0,67.0,15.0,0.0,116.0,75.0,184.0,97.0,1.0,357.0,56.0,225.0,109.0,1.0,391.0,611.0,1986.0,380.0,3.0,2980.0,34.0,75.0,15.0,0.0,124.0,18.0,26.0,10.0,0.0,54.0,8.0,11.0,4.0,0.0,23.0,14.0,40.0,25.0,0.0,79.0,40.0,94.0,9.0,0.0,143.0,232.0,813.0,693.0,0.0,1738.0,12.0,45.0,17.0,0.0,74.0,11319.0
Dodge,11439.0,14.0,12.0,7.0,0.0,33.0,5.0,8.0,4.0,0.0,17.0,911.0,1280.0,276.0,0.0,2467.0,9.0,7.0,4.0,0.0,20.0,44.0,52.0,7.0,0.0,103.0,11.0,8.0,1.0,0.0,20.0,27.0,36.0,11.0,0.0,74.0,80.0,177.0,62.0,0.0,319.0,24.0,29.0,12.0,0.0,65.0,36.0,41.0,3.0,0.0,80.0,20.0,51.0,17.0,0.0,88.0,30.0,28.0,17.0,0.0,75.0,1195.0,1286.0,412.0,4.0,2897.0,18.0,20.0,5.0,0.0,43.0,16.0,11.0,4.0,0.0,31.0,2.0,4.0,2.0,0.0,8.0,4.0,5.0,6.0,0.0,15.0,45.0,37.0,3.0,0.0,85.0,362.0,660.0,398.0,1.0,1421.0,11.0,15.0,3.0,0.0,29.0,7890.0
Dooly,5949.0,4.0,5.0,0.0,0.0,9.0,3.0,5.0,3.0,0.0,11.0,188.0,665.0,112.0,3.0,968.0,0.0,2.0,1.0,0.0,3.0,9.0,19.0,1.0,0.0,29.0,2.0,2.0,1.0,0.0,5.0,7.0,12.0,8.0,0.0,27.0,95.0,176.0,53.0,1.0,325.0,22.0,48.0,9.0,0.0,79.0,12.0,19.0,1.0,0.0,32.0,24.0,27.0,24.0,0.0,75.0,22.0,35.0,20.0,0.0,77.0,230.0,669.0,142.0,0.0,1041.0,8.0,15.0,5.0,0.0,28.0,3.0,13.0,1.0,0.0,17.0,3.0,1.0,0.0,0.0,4.0,1.0,7.0,6.0,0.0,14.0,11.0,12.0,2.0,0.0,25.0,271.0,593.0,324.0,0.0,1188.0,15.0,29.0,4.0,0.0,48.0,4005.0
Dougherty,61172.0,27.0,27.0,47.0,0.0,101.0,27.0,14.0,51.0,2.0,94.0,1559.0,1641.0,915.0,11.0,4126.0,33.0,24.0,15.0,1.0,73.0,97.0,58.0,29.0,2.0,186.0,44.0,25.0,15.0,0.0,84.0,104.0,57.0,34.0,1.0,196.0,1162.0,1166.0,681.0,13.0,3022.0,299.0,320.0,206.0,5.0,830.0,82.0,35.0,12.0,0.0,129.0,411.0,416.0,354.0,5.0,1186.0,342.0,281.0,229.0,2.0,854.0,2224.0,1989.0,1396.0,9.0,5618.0,164.0,146.0,33.0,1.0,344.0,62.0,35.0,11.0,1.0,109.0,27.0,16.0,14.0,0.0,57.0,44.0,61.0,55.0,1.0,161.0,72.0,38.0,22.0,1.0,133.0,4698.0,6465.0,6004.0,48.0,17215.0,122.0,126.0,107.0,1.0,356.0,34874.0
Douglas,102540.0,55.0,85.0,62.0,2.0,204.0,58.0,74.0,67.0,0.0,199.0,1548.0,5707.0,1840.0,3.0,9098.0,37.0,76.0,62.0,0.0,175.0,148.0,284.0,90.0,1.0,523.0,53.0,74.0,29.0,0.0,156.0,122.0,237.0,82.0,2.0,443.0,1116.0,3147.0,1507.0,11.0,5781.0,431.0,1180.0,518.0,1.0,2130.0,99.0,159.0,40.0,0.0,298.0,396.0,1060.0,473.0,1.0,1930.0,366.0,828.0,421.0,1.0,1616.0,2386.0,8272.0,3288.0,4.0,13950.0,189.0,411.0,103.0,2.0,705.0,144.0,164.0,63.0,0.0,371.0,61.0,85.0,47.0,0.0,193.0,47.0,102.0,74.0,0.0,223.0,102.0,173.0,47.0,0.0,322.0,3224.0,15740.0,10384.0,27.0,29375.0,87.0,241.0,133.0,1.0,462.0,68154.0
