index,County,Precinct,Registered Voters,"Patrick """"Pat"""" Labat (Dem)_Election Day Votes","Patrick """"Pat"""" Labat (Dem)_Advanced Voting Votes","Patrick """"Pat"""" Labat (Dem)_Absentee by Mail Votes","Patrick """"Pat"""" Labat (Dem)_Provisional Votes","Patrick """"Pat"""" Labat (Dem)_Choice Total",Total,
355,Fulton,SS11B,1412,101,435,200,1,737,737,
356,Fulton,SS11C,361,29,115,26,1,171,171,
357,Fulton,SS11D,397,17,143,82,0,242,242,
358,Fulton,SS12,2897,134,961,545,9,1649,1649,
359,Fulton,SS13A,2103,123,716,306,3,1148,1148,
360,Fulton,SS13B,1278,83,486,154,1,724,724,
361,Fulton,SS14,1412,64,508,241,1,814,814,
362,Fulton,SS15A,2756,254,829,270,5,1358,1358,
363,Fulton,SS15B,1730,170,547,196,2,915,915,
364,Fulton,SS16,2116,86,683,462,2,1233,1233,
365,Fulton,SS17,3686,228,1140,571,13,1952,1952,
366,Fulton,SS18A,657,28,232,126,0,386,386,
367,Fulton,SS18B,241,7,77,49,0,133,133,
368,Fulton,SS19A,3299,184,1122,400,10,1716,1716,
369,Fulton,SS19B,2342,121,870,328,86,1405,1405,
370,Fulton,SS20,2404,159,718,347,9,1233,1233,
371,Fulton,SS22,2834,158,689,434,3,1284,1284,
372,Fulton,SS26,3824,249,1288,389,16,1942,1942,
373,Fulton,SS29A,2842,154,960,478,6,1598,1598,
374,Fulton,SS31,1703,74,579,303,0,956,956,
375,Fulton,UC01A,4234,327,1220,333,12,1892,1892,
376,Fulton,UC01B,428,38,141,30,5,214,214,
377,Fulton,UC01D,6,0,0,0,0,0,0,
378,Fulton,UC01E,512,41,269,72,0,382,382,
379,Fulton,UC02A,5609,325,2182,1131,19,3657,3657,
380,Fulton,UC02B,32,2,11,3,0,16,16,
381,Fulton,UC02C,3614,148,1225,130,15,1518,1518,
382,Fulton,UC031,2745,159,664,441,26,1290,1290,
383,Fulton,UC032,393,21,137,76,1,235,235,
