County,Al Bartell (Ind)_Election Day Votes,Al Bartell (Ind)_Absentee by Mail Votes,Al Bartell (Ind)_Advanced Voting Votes,Al Bartell (Ind)_Provisional Votes,Al Bartell (Ind)_TOTAL VOTES,Allen Buckley (Ind)_Election Day Votes,Allen Buckley (Ind)_Absentee by Mail Votes,Allen Buckley (Ind)_Advanced Voting Votes,Allen Buckley (Ind)_Provisional Votes,Allen Buckley (Ind)_TOTAL VOTES,Doug Collins (Rep)_Election Day Votes,Doug Collins (Rep)_Absentee by Mail Votes,Doug Collins (Rep)_Advanced Voting Votes,Doug Collins (Rep)_Provisional Votes,Doug Collins (Rep)_TOTAL VOTES,John Fortuin (Grn)_Election Day Votes,John Fortuin (Grn)_Absentee by Mail Votes,John Fortuin (Grn)_Advanced Voting Votes,John Fortuin (Grn)_Provisional Votes,John Fortuin (Grn)_TOTAL VOTES,Derrick E. Grayson (Rep)_Election Day Votes,Derrick E. Grayson (Rep)_Absentee by Mail Votes,Derrick E. Grayson (Rep)_Advanced Voting Votes,Derrick E. Grayson (Rep)_Provisional Votes,Derrick E. Grayson (Rep)_TOTAL VOTES,Michael Todd Greene (Ind)_Election Day Votes,Michael Todd Greene (Ind)_Absentee by Mail Votes,Michael Todd Greene (Ind)_Advanced Voting Votes,Michael Todd Greene (Ind)_Provisional Votes,Michael Todd Greene (Ind)_TOTAL VOTES,Annette Davis Jackson (Rep)_Election Day Votes,Annette Davis Jackson (Rep)_Absentee by Mail Votes,Annette Davis Jackson (Rep)_Advanced Voting Votes,Annette Davis Jackson (Rep)_Provisional Votes,Annette Davis Jackson (Rep)_TOTAL VOTES,Deborah Jackson (Dem)_Election Day Votes,Deborah Jackson (Dem)_Absentee by Mail Votes,Deborah Jackson (Dem)_Advanced Voting Votes,Deborah Jackson (Dem)_Provisional Votes,Deborah Jackson (Dem)_TOTAL VOTES,Jamesia James (Dem)_Election Day Votes,Jamesia James (Dem)_Absentee by Mail Votes,Jamesia James (Dem)_Advanced Voting Votes,Jamesia James (Dem)_Provisional Votes,Jamesia James (Dem)_TOTAL VOTES,A. Wayne Johnson (Rep)_Election Day Votes,A. Wayne Johnson (Rep)_Absentee by Mail Votes,A. Wayne Johnson (Rep)_Advanced Voting Votes,A. Wayne Johnson (Rep)_Provisional Votes,A. Wayne Johnson (Rep)_TOTAL VOTES,Tamara Johnson-Shealey (Dem)_Election Day Votes,Tamara Johnson-Shealey (Dem)_Absentee by Mail Votes,Tamara Johnson-Shealey (Dem)_Advanced Voting Votes,Tamara Johnson-Shealey (Dem)_Provisional Votes,Tamara Johnson-Shealey (Dem)_TOTAL VOTES,Matt Lieberman (Dem)_Election Day Votes,Matt Lieberman (Dem)_Absentee by Mail Votes,Matt Lieberman (Dem)_Advanced Voting Votes,Matt Lieberman (Dem)_Provisional Votes,Matt Lieberman (Dem)_TOTAL VOTES,Kelly Loeffler (I) (Rep)_Election Day Votes,Kelly Loeffler (I) (Rep)_Absentee by Mail Votes,Kelly Loeffler (I) (Rep)_Advanced Voting Votes,Kelly Loeffler (I) (Rep)_Provisional Votes,Kelly Loeffler (I) (Rep)_TOTAL VOTES,Joy Felicia Slade (Dem)_Election Day Votes,Joy Felicia Slade (Dem)_Absentee by Mail Votes,Joy Felicia Slade (Dem)_Advanced Voting Votes,Joy Felicia Slade (Dem)_Provisional Votes,Joy Felicia Slade (Dem)_TOTAL VOTES,Brian Slowinski (Lib)_Election Day Votes,Brian Slowinski (Lib)_Absentee by Mail Votes,Brian Slowinski (Lib)_Advanced Voting Votes,Brian Slowinski (Lib)_Provisional Votes,Brian Slowinski (Lib)_TOTAL VOTES,Valencia Stovall (Ind)_Election Day Votes,Valencia Stovall (Ind)_Absentee by Mail Votes,Valencia Stovall (Ind)_Advanced Voting Votes,Valencia Stovall (Ind)_Provisional Votes,Valencia Stovall (Ind)_TOTAL VOTES,Ed Tarver (Dem)_Election Day Votes,Ed Tarver (Dem)_Absentee by Mail Votes,Ed Tarver (Dem)_Advanced Voting Votes,Ed Tarver (Dem)_Provisional Votes,Ed Tarver (Dem)_TOTAL VOTES,Kandiss Taylor (Rep)_Election Day Votes,Kandiss Taylor (Rep)_Absentee by Mail Votes,Kandiss Taylor (Rep)_Advanced Voting Votes,Kandiss Taylor (Rep)_Provisional Votes,Kandiss Taylor (Rep)_TOTAL VOTES,Raphael Warnock (Dem)_Election Day Votes,Raphael Warnock (Dem)_Absentee by Mail Votes,Raphael Warnock (Dem)_Advanced Voting Votes,Raphael Warnock (Dem)_Provisional Votes,Raphael Warnock (Dem)_TOTAL VOTES,Richard Dien Winfield (Dem)_Election Day Votes,Richard Dien Winfield (Dem)_Absentee by Mail Votes,Richard Dien Winfield (Dem)_Advanced Voting Votes,Richard Dien Winfield (Dem)_Provisional Votes,Richard Dien Winfield (Dem)_TOTAL VOTES,Total,
Dawson,6,6,18,0,30,16,8,14,0,38,1149,1115,5080,1,7345,7,5,8,0,20,51,23,117,0,191,13,7,13,0,33,53,18,92,0,163,30,87,143,0,260,11,32,37,0,80,42,12,114,0,168,11,23,44,0,78,43,67,155,1,266,943,820,3496,1,5260,17,6,27,0,50,38,15,73,0,126,7,5,19,0,31,3,12,12,0,27,39,19,96,0,154,121,716,669,0,1506,1,9,17,0,27,15853,
Decatur,19,14,23,0,56,10,22,31,0,63,630,365,1994,2,2991,6,5,13,1,25,60,25,120,1,206,18,9,20,0,47,28,19,79,0,126,270,313,843,3,1429,53,87,155,2,297,34,15,67,0,116,75,97,184,1,357,56,109,225,1,391,611,380,1986,3,2980,34,15,75,0,124,18,10,26,0,54,8,4,11,0,23,14,25,40,0,79,40,9,94,0,143,232,693,813,0,1738,12,17,45,0,74,11319,
DeKalb,213,380,393,6,992,234,467,452,9,1162,3659,6260,10266,61,20246,229,509,536,9,1283,331,388,632,10,1361,215,165,398,12,790,395,406,817,20,1638,5661,7978,19047,247,32933,1837,2147,5430,101,9515,253,204,513,15,985,1782,2388,6086,88,10344,1818,3048,7255,26,12147,6719,9846,17785,74,34424,950,527,2960,24,4461,559,566,953,11,2089,221,304,553,9,1087,194,648,749,6,1597,229,189,490,9,917,20601,88691,116532,592,226416,467,725,1422,27,2641,367028,
Dodge,14,7,12,0,33,5,4,8,0,17,911,276,1280,0,2467,9,4,7,0,20,44,7,52,0,103,11,1,8,0,20,27,11,36,0,74,80,62,177,0,319,24,12,29,0,65,36,3,41,0,80,20,17,51,0,88,30,17,28,0,75,1195,412,1286,4,2897,18,5,20,0,43,16,4,11,0,31,2,2,4,0,8,4,6,5,0,15,45,3,37,0,85,362,398,660,1,1421,11,3,15,0,29,7890,
Dooly,4,0,5,0,9,3,3,5,0,11,188,112,665,3,968,0,1,2,0,3,9,1,19,0,29,2,1,2,0,5,7,8,12,0,27,95,53,176,1,325,22,9,48,0,79,12,1,19,0,32,24,24,27,0,75,22,20,35,0,77,230,142,669,0,1041,8,5,15,0,28,3,1,13,0,17,3,0,1,0,4,1,6,7,0,14,11,2,12,0,25,271,324,593,0,1188,15,4,29,0,48,4005,
Dougherty,27,47,27,0,101,27,51,14,2,94,1559,915,1641,11,4126,33,15,24,1,73,97,29,58,2,186,44,15,25,0,84,104,34,57,1,196,1162,681,1166,13,3022,299,206,320,5,830,82,12,35,0,129,411,354,416,5,1186,342,229,281,2,854,2224,1396,1989,9,5618,164,33,146,1,344,62,11,35,1,109,27,14,16,0,57,44,55,61,1,161,72,22,38,1,133,4698,6004,6465,48,17215,122,107,126,1,356,34874,
Douglas,55,62,85,2,204,58,67,74,0,199,1548,1840,5707,3,9098,37,62,76,0,175,148,90,284,1,523,53,29,74,0,156,122,82,237,2,443,1116,1507,3147,11,5781,431,518,1180,1,2130,99,40,159,0,298,396,473,1060,1,1930,366,421,828,1,1616,2386,3288,8272,4,13950,189,103,411,2,705,144,63,164,0,371,61,47,85,0,193,47,74,102,0,223,102,47,173,0,322,3224,10384,15740,27,29375,87,133,241,1,462,68154,
Early,9,7,17,0,33,9,2,11,0,22,362,214,737,0,1313,10,3,6,0,19,22,6,22,0,50,12,3,22,0,37,19,2,30,0,51,189,130,284,0,603,32,30,64,0,126,21,4,21,0,46,35,32,68,0,135,36,52,67,0,155,324,171,637,0,1132,30,9,44,0,83,9,3,11,0,23,13,4,5,0,22,3,6,10,0,19,18,8,28,0,54,228,360,417,0,1005,9,8,21,0,38,4966,
Echols,1,6,6,0,13,3,0,8,0,11,87,50,371,0,508,1,0,3,0,4,10,8,31,0,49,0,0,2,0,2,3,2,13,0,18,7,10,26,0,43,6,0,4,0,10,3,3,27,0,33,8,2,11,0,21,3,4,18,0,25,94,52,412,0,558,3,1,5,0,9,1,0,3,0,4,1,1,3,0,5,2,2,2,0,6,5,0,19,0,24,3,6,27,0,36,1,1,0,0,2,1381,
Effingham,50,27,46,0,123,66,32,46,0,144,2267,875,4872,5,8019,30,17,24,0,71,241,55,335,3,634,38,11,28,1,78,173,49,207,0,429,250,277,501,3,1031,77,57,128,0,262,161,34,241,1,437,101,91,183,1,376,157,144,264,1,566,4010,1492,7235,5,12742,41,34,82,1,158,156,43,125,0,324,31,13,28,0,72,10,20,22,0,52,165,28,245,1,439,1093,1534,2311,5,4943,18,16,40,0,74,30974,
Elbert,6,8,8,0,22,7,11,8,0,26,1169,743,2311,0,4223,5,9,5,0,19,50,14,72,0,136,13,0,9,0,22,35,17,41,0,93,121,212,252,0,585,54,73,96,0,223,42,10,66,0,118,45,44,93,0,182,54,100,125,0,279,471,224,831,0,1526,14,16,48,0,78,17,1,15,0,33,3,4,11,0,18,4,19,7,0,30,23,4,47,0,74,189,489,559,0,1237,10,24,23,0,57,8981,
Emanuel,10,2,8,0,20,31,10,30,0,71,1063,386,1327,0,2776,4,2,7,0,13,68,18,85,0,171,4,1,7,0,12,34,9,48,1,92,173,112,218,0,503,48,42,53,0,143,53,1,42,0,96,44,18,55,0,117,49,32,67,0,148,1152,468,1441,0,3061,20,6,21,0,47,12,3,12,0,27,7,0,3,1,11,16,36,18,0,70,41,3,44,0,88,462,487,743,0,1692,9,9,15,0,33,9191,
Evans,0,1,8,0,9,5,0,16,0,21,167,186,746,0,1099,1,3,6,0,10,14,12,44,0,70,4,1,5,0,10,18,5,29,0,52,41,30,113,0,184,12,17,28,0,57,15,4,34,0,53,12,7,38,0,57,15,14,48,0,77,223,287,993,0,1503,20,5,16,0,41,4,4,8,0,16,2,0,3,0,5,3,7,9,0,19,16,3,32,0,51,121,231,439,0,791,4,2,16,0,22,4147,
Fannin,8,9,10,0,27,16,17,16,0,49,2530,1436,3563,13,7542,10,7,8,1,26,83,22,85,0,190,16,6,10,0,32,52,11,46,0,109,51,102,110,0,263,6,10,16,0,32,56,7,58,1,122,12,15,24,0,51,42,122,106,0,270,1280,759,1831,7,3877,11,13,18,0,42,21,16,29,0,66,10,6,7,0,23,2,10,11,0,23,43,16,35,0,94,248,753,693,0,1694,5,11,23,0,39,14571,
Fayette,56,52,111,0,219,43,66,110,0,219,2040,2849,8496,0,13385,62,79,80,0,221,99,143,323,0,565,34,32,75,0,141,156,117,316,0,589,454,1015,2000,0,3469,165,211,568,0,944,89,60,229,0,378,162,246,590,0,998,295,475,1097,0,1867,3665,4349,12832,0,20846,119,70,363,0,552,160,92,290,0,542,33,48,109,0,190,22,84,89,0,195,94,69,238,0,401,2073,8215,11805,0,22093,49,99,162,0,310,68124,
Floyd,47,26,46,0,119,47,45,51,0,143,2814,1895,5438,35,10182,45,41,41,0,127,158,75,235,3,471,54,18,53,0,125,164,44,249,0,457,309,313,570,1,1193,93,100,165,1,359,132,34,174,0,340,128,93,211,1,433,232,205,425,1,863,4040,2337,7920,68,14365,48,27,96,1,172,130,46,141,0,317,24,20,38,0,82,20,19,24,0,63,165,37,271,0,473,1388,2881,3128,14,7411,34,42,53,0,129,37824,
Forsyth,71,101,188,0,360,92,143,270,0,505,3507,6496,25054,10,35067,87,161,240,2,490,324,269,1107,0,1700,90,93,243,1,427,263,286,984,3,1536,616,1889,3744,7,6256,143,322,640,1,1106,203,143,718,0,1064,218,421,972,0,1611,421,1206,2706,2,4335,4840,7777,31749,17,44383,108,118,536,0,762,303,216,794,2,1315,56,78,168,1,303,23,172,176,0,371,195,129,654,0,978,1545,9739,12604,7,23895,52,230,254,0,536,127000,
Franklin,8,11,11,0,30,11,7,14,0,32,1434,1036,3688,0,6158,3,7,11,0,21,65,26,97,0,188,9,7,17,0,33,34,9,79,0,122,67,124,112,0,303,31,28,34,0,93,51,11,84,0,146,21,26,42,0,89,49,80,90,1,220,612,332,1313,1,2258,17,9,16,0,42,28,4,31,0,63,7,5,5,0,17,9,10,12,0,31,41,5,54,0,100,111,241,261,0,613,7,7,13,0,27,10586,
Fulton,288,490,685,15,1478,346,638,901,20,1905,5799,11782,30388,309,48278,341,629,930,39,1939,513,552,1465,46,2576,294,253,712,19,1278,662,628,1964,55,3309,6224,8624,25583,528,40959,2184,2501,8082,181,12948,397,292,1126,32,1847,2132,2662,8809,178,13781,2318,4559,13010,102,19989,10825,18920,53161,351,83257,1175,728,4746,46,6695,720,787,1856,35,3398,343,393,968,27,1731,250,907,1196,23,2376,412,328,1125,27,1892,21404,87088,152207,1293,261992,521,897,1935,43,3396,515024,
Gilmer,11,14,10,0,35,17,16,14,0,47,2368,1220,4118,5,7711,12,19,11,1,43,76,17,98,1,192,8,8,8,0,24,42,22,62,0,126,63,118,138,0,319,12,21,16,0,49,69,18,77,1,165,23,24,37,0,84,51,106,115,0,272,1644,877,2384,3,4908,9,12,32,0,53,47,18,40,0,105,9,6,6,0,21,5,13,3,0,21,40,8,45,0,93,256,852,788,1,1897,7,13,16,0,36,16201,
Glascock,0,0,0,0,0,1,0,2,0,3,123,49,264,0,436,2,0,0,0,2,10,1,11,0,22,0,0,2,0,2,6,3,11,0,20,5,8,12,0,25,3,0,7,0,10,10,2,10,0,22,3,2,0,0,5,6,8,3,0,17,230,136,453,0,819,1,0,0,0,1,2,2,3,0,7,1,0,0,0,1,0,6,7,0,13,4,1,5,0,10,19,29,36,0,84,1,0,0,0,1,1500,
Glynn,51,62,82,0,195,54,96,112,1,263,1677,1815,6792,9,10293,36,45,60,0,141,177,126,435,2,740,53,23,80,0,156,161,108,364,1,634,518,905,1740,8,3171,151,191,399,2,743,242,120,619,1,982,168,252,525,4,949,184,422,824,0,1430,2092,2150,7556,12,11810,121,105,298,0,524,86,43,156,0,285,33,35,62,0,130,25,103,79,0,207,145,76,411,3,635,779,3054,3431,8,7272,30,84,92,1,207,40767,
Gordon,24,13,39,0,76,37,26,46,0,109,2576,1012,3995,3,7586,19,18,32,0,69,223,40,250,2,515,43,13,45,0,101,150,43,167,1,361,171,162,313,0,646,42,41,57,0,140,152,22,144,0,318,72,43,81,1,197,125,103,219,0,447,3371,1380,4784,4,9539,34,7,52,0,93,81,18,68,0,167,8,11,14,0,33,15,16,15,0,46,137,28,174,1,340,585,928,1106,0,2619,17,23,27,1,68,23470,
Grady,11,14,22,0,47,14,7,20,0,41,951,558,1964,0,3473,4,6,12,0,22,70,35,120,0,225,9,7,19,0,35,46,23,76,0,145,162,210,516,0,888,38,59,144,0,241,32,16,81,0,129,76,67,173,0,316,66,79,149,0,294,795,446,1476,0,2717,26,21,56,0,103,23,4,17,0,44,5,5,6,0,16,3,11,25,0,39,39,12,94,0,145,214,515,670,0,1399,14,25,31,0,70,10389,
Greene,3,5,4,0,12,3,8,7,0,18,366,607,2634,1,3608,5,6,4,0,15,17,16,41,0,74,3,5,8,0,16,7,7,35,0,49,210,199,460,3,872,11,22,34,0,67,12,6,18,0,36,12,32,36,0,80,28,68,77,0,173,410,683,2254,2,3349,3,8,23,0,34,13,7,20,0,40,8,1,7,0,16,2,5,7,0,14,10,8,22,0,40,305,1043,1221,3,2572,5,11,22,0,38,11123,
Gwinnett,444,324,642,3,1413,485,435,632,11,1563,11037,14473,32296,80,57886,431,480,622,4,1537,1419,828,2711,20,4978,393,303,538,8,1242,1250,888,2225,10,4373,6821,9940,19045,102,35908,2088,2474,5277,25,9864,1091,644,1904,16,3655,3383,3504,9166,45,16098,3173,3703,9144,17,16037,17944,21889,48733,47,88613,1254,522,2980,2,4758,1115,638,1439,5,3197,348,308,533,2,1191,302,661,778,2,1743,786,381,1318,2,2487,17435,51923,73490,120,142968,714,822,1661,7,3204,402715,
Habersham,10,8,20,0,38,11,14,36,1,62,1433,1846,7029,11,10319,11,13,15,0,39,65,37,134,1,237,16,6,26,1,49,53,22,108,2,185,90,135,216,2,443,31,30,59,0,120,36,21,91,1,149,34,27,86,0,147,51,109,166,0,326,903,964,3503,1,5371,12,12,43,0,67,53,26,91,1,171,8,8,16,0,32,9,11,11,0,31,38,19,84,1,142,247,852,1034,0,2133,22,20,19,0,61,20122,
Hall,77,65,101,0,243,85,80,123,0,288,6111,7778,25551,0,39440,65,62,115,0,242,226,141,473,0,840,65,36,109,0,210,192,128,461,0,781,820,932,1917,0,3669,186,198,434,0,818,169,48,336,0,553,246,209,611,0,1066,376,451,999,0,1826,3967,4183,13807,0,21957,146,64,342,0,552,250,123,396,0,769,59,45,107,0,211,40,80,75,0,195,148,60,359,0,567,1790,6425,6664,0,14879,78,95,134,0,307,89413,
Hancock,5,7,4,0,16,4,4,4,0,12,100,92,284,0,476,3,2,3,0,8,7,3,8,0,18,4,2,2,0,8,9,4,10,0,23,97,98,135,0,330,21,45,37,0,103,9,0,6,0,15,36,42,39,0,117,25,31,33,0,89,138,144,326,0,608,10,12,22,0,44,4,2,1,0,7,1,1,2,0,4,3,16,11,0,30,7,1,6,0,14,400,910,816,3,2129,13,15,10,0,38,4089,
Haralson,24,7,11,0,42,23,6,14,0,43,1497,649,2341,1,4488,18,10,10,0,38,89,28,101,0,218,26,6,18,0,50,65,20,70,0,155,45,74,82,0,201,13,12,26,0,51,112,23,164,0,299,20,30,35,0,85,46,53,68,0,167,2235,1044,3252,2,6533,14,13,7,0,34,40,14,45,0,99,7,3,4,0,14,0,6,6,0,12,96,9,106,0,211,266,419,514,1,1200,10,12,7,0,29,13969,
Harris,15,10,17,0,42,19,11,19,0,49,2354,971,3104,9,6438,9,16,11,0,36,100,29,103,0,232,18,5,6,0,29,73,23,82,1,179,176,178,246,1,601,31,50,59,1,141,59,17,65,0,141,52,66,78,0,196,78,100,113,0,291,2822,1102,3164,2,7090,20,15,25,1,61,65,27,37,0,129,11,14,11,0,36,5,31,12,0,48,69,27,60,0,156,880,1434,1460,2,3776,20,22,25,0,67,19738,
Hart,11,9,11,0,31,17,19,10,0,46,1496,1095,4074,0,6665,10,8,16,0,34,50,21,114,0,185,8,5,13,0,26,48,23,82,1,154,130,194,274,0,598,39,56,104,0,199,53,11,99,0,163,45,35,93,1,174,54,133,153,0,340,584,304,1191,1,2080,27,14,47,1,89,24,5,32,0,61,8,2,10,0,20,6,17,20,0,43,31,7,69,0,107,211,464,627,0,1302,8,19,10,0,37,12354,
Heard,7,0,8,0,15,8,3,3,0,14,486,225,804,0,1515,2,3,3,0,8,31,9,45,1,86,7,3,4,0,14,16,7,28,0,51,28,29,36,1,94,4,2,8,0,14,34,6,35,0,75,7,12,7,0,26,14,15,25,0,54,942,410,1190,0,2542,6,2,9,0,17,13,1,19,0,33,6,3,1,0,10,2,3,3,0,8,31,6,23,0,60,140,202,250,0,592,7,5,7,0,19,5247,
Henry,85,85,137,0,307,90,110,172,1,373,2419,2868,11540,9,16836,65,100,127,0,292,251,152,582,1,986,77,50,160,1,288,187,113,514,1,815,1724,2195,6634,18,10571,537,826,1921,6,3290,171,69,396,1,637,529,759,1996,7,3291,488,615,1959,1,3063,4390,4811,17614,9,26824,299,165,998,0,1462,197,108,382,0,687,98,98,243,1,440,59,188,167,2,416,193,84,408,0,685,4487,15177,29707,36,49407,135,161,501,3,800,121470,
Houston,62,80,57,1,200,62,68,77,1,208,3926,3236,8855,20,16037,59,73,57,1,190,283,125,418,2,828,64,42,60,1,167,255,108,294,1,658,1042,1327,1707,11,4087,352,503,576,5,1436,191,59,247,2,499,318,400,483,2,1203,402,485,614,1,1502,6371,4655,11285,16,22327,151,97,227,0,475,229,108,213,2,552,54,56,54,0,164,44,154,70,1,269,251,82,313,0,646,3952,8112,9857,24,21945,99,140,186,0,425,73818,
Irwin,3,2,9,0,14,0,1,5,0,6,260,152,1022,1,1435,3,0,3,0,6,16,4,30,1,51,4,1,8,0,13,11,3,19,0,33,37,46,66,0,149,16,3,24,0,43,16,2,33,0,51,16,17,46,0,79,14,5,23,0,42,320,214,925,0,1459,5,3,5,0,13,2,1,11,1,15,0,3,2,0,5,0,1,5,0,6,10,3,35,0,48,135,152,318,1,606,6,2,11,0,19,4093,
Jackson,25,21,35,0,81,24,19,55,0,98,2166,2391,10354,3,14914,25,33,47,0,105,102,70,286,0,458,18,16,42,0,76,102,50,233,1,386,177,343,557,0,1077,57,72,130,0,259,92,27,198,0,317,62,103,146,0,311,112,164,322,0,598,2204,1845,8543,1,12593,29,27,105,0,161,105,49,163,0,317,14,13,31,0,58,7,32,19,0,58,102,39,271,0,412,594,1826,2361,2,4783,16,36,42,0,94,37156,
Jasper,4,6,5,0,15,4,10,13,0,27,526,287,1324,5,2142,6,3,7,0,16,42,13,52,1,108,6,0,6,0,12,23,6,33,0,62,55,62,103,0,220,10,22,28,0,60,18,4,42,1,65,17,30,32,0,79,12,23,56,0,91,857,497,1888,4,3246,8,4,16,0,28,16,4,17,0,37,5,2,4,0,11,1,4,1,0,6,26,3,44,0,73,200,492,523,3,1218,1,9,11,0,21,7537,
Jeff Davis,4,4,8,0,16,13,5,15,0,33,476,201,1097,0,1774,4,1,3,0,8,35,9,51,0,95,6,1,7,0,14,23,2,25,0,50,43,42,107,0,192,19,17,32,0,68,44,10,45,0,99,12,7,30,0,49,17,10,28,0,55,493,244,982,0,1719,9,1,9,0,19,9,5,12,0,26,4,1,6,0,11,3,2,4,0,9,262,44,463,0,769,141,179,270,0,590,3,0,4,0,7,5603,
Jefferson,2,7,5,0,14,7,13,8,0,28,376,171,880,2,1429,8,1,8,0,17,26,6,27,0,59,4,2,6,0,12,21,5,20,0,46,232,125,262,1,620,53,56,75,0,184,22,3,17,0,42,71,44,89,1,205,47,27,71,0,145,607,256,983,1,1847,14,8,28,1,51,11,1,12,0,24,2,1,2,0,5,26,107,42,0,175,17,0,23,0,40,574,816,1091,6,2487,9,8,15,0,32,7462,
Jenkins,3,2,5,0,10,4,2,8,0,14,213,142,491,3,849,2,3,4,0,9,18,4,19,0,41,1,1,4,0,6,9,6,16,0,31,55,48,69,0,172,23,17,36,1,77,11,4,19,0,34,10,12,23,0,45,18,11,26,0,55,283,179,642,0,1104,3,2,6,0,11,5,0,3,0,8,1,1,2,0,4,2,20,8,0,30,17,2,14,0,33,174,273,359,0,806,10,7,10,0,27,3366,
Johnson,3,7,2,0,12,3,5,3,0,11,316,126,801,0,1243,0,0,4,0,4,14,2,28,0,44,2,0,4,0,6,15,6,13,0,34,44,54,99,0,197,8,9,26,0,43,22,2,16,0,40,19,20,33,0,72,6,4,15,0,25,351,189,836,0,1376,3,7,8,0,18,5,3,6,0,14,1,1,2,0,4,2,2,6,0,10,15,0,20,0,35,132,249,382,0,763,3,3,4,0,10,3961,
Jones,11,8,18,0,37,16,13,17,0,46,1039,488,2279,3,3809,9,3,11,0,23,76,23,89,0,188,13,4,22,0,39,43,10,57,0,110,118,150,276,1,545,44,50,90,0,184,45,9,72,0,126,31,44,68,0,143,46,60,129,0,235,1650,774,2971,2,5397,21,13,37,0,71,32,7,29,0,68,5,0,6,0,11,3,20,11,0,34,51,3,78,0,132,576,1231,1688,1,3496,13,20,27,0,60,14754,
Lamar,5,2,10,0,17,8,6,11,0,25,648,325,1609,3,2585,5,7,12,0,24,35,9,68,0,112,6,1,5,0,12,28,8,49,0,85,64,69,123,1,257,22,18,38,0,78,40,3,43,0,86,22,14,38,0,74,33,16,64,0,113,888,452,1899,4,3243,6,3,21,0,30,23,7,21,0,51,12,0,6,0,18,3,8,3,0,14,35,7,40,0,82,339,767,886,2,1994,11,11,21,0,43,8943,
Lanier,6,3,8,0,17,10,4,8,0,22,151,88,705,0,944,4,1,4,0,9,19,10,63,0,92,5,2,7,0,14,20,6,26,0,52,57,59,128,0,244,16,10,18,0,44,13,5,33,0,51,31,22,54,0,107,24,21,56,0,101,218,140,833,0,1191,3,6,12,0,21,10,3,16,0,29,6,2,2,0,10,4,4,10,0,18,20,6,53,0,79,39,130,196,0,365,1,10,7,0,18,3428,
Laurens,23,16,19,1,59,22,21,16,0,59,2488,1125,3148,1,6762,10,13,13,0,36,104,30,99,1,234,28,4,10,0,42,92,26,97,0,215,363,357,614,1,1335,99,82,148,0,329,75,12,73,0,160,95,69,141,0,305,79,80,145,0,304,2615,1113,2864,0,6592,54,21,55,0,130,29,10,37,0,76,4,9,10,0,23,15,24,27,0,66,75,18,81,0,174,1175,1921,2236,2,5334,20,34,34,0,88,22323,
Lee,11,7,27,0,45,15,5,27,0,47,1139,484,3051,1,4675,6,8,9,0,23,77,25,146,0,248,27,3,16,1,47,44,14,91,0,149,140,125,320,1,586,37,36,98,0,171,42,11,75,0,128,44,41,111,0,196,63,69,167,0,299,1564,663,4135,3,6365,22,9,49,0,80,44,13,44,0,101,12,5,13,0,30,7,16,22,0,45,73,14,106,0,193,550,838,1582,0,2970,10,23,27,0,60,16458,
Liberty,27,29,34,0,90,24,35,29,0,88,536,473,1928,0,2937,19,26,33,0,78,71,47,141,0,259,37,21,36,0,94,83,41,122,0,246,340,693,1260,0,2293,123,243,399,0,765,68,32,92,0,192,116,216,378,0,710,105,183,382,0,670,761,646,2348,0,3755,64,51,192,0,307,45,40,78,0,163,30,17,36,0,83,15,52,47,0,114,61,25,124,0,210,855,2539,4319,0,7713,21,42,83,0,146,20913,
Lincoln,2,2,7,0,11,3,4,1,0,8,313,185,747,0,1245,3,4,1,0,8,14,5,21,0,40,4,2,4,0,10,11,3,18,0,32,39,80,79,0,198,17,39,28,0,84,18,2,19,0,39,17,12,20,0,49,23,31,31,0,85,508,225,986,0,1719,8,3,13,0,24,7,11,13,0,31,3,3,2,0,8,6,79,28,0,113,14,1,14,0,29,143,350,311,0,804,3,4,10,0,17,4554,
Long,8,4,13,0,25,18,6,13,0,37,370,97,781,2,1250,6,5,4,0,15,35,7,65,0,107,8,0,14,0,22,36,7,45,1,89,80,56,185,0,321,30,23,65,1,119,42,8,44,1,95,32,23,79,0,134,21,15,75,0,111,518,159,1026,5,1708,10,6,24,0,40,19,2,26,0,47,11,5,9,0,25,7,1,7,0,15,38,5,55,1,99,201,341,686,5,1233,6,7,15,0,28,5520,
Lowndes,41,51,64,7,163,53,83,78,7,221,1906,1442,6657,80,10085,34,53,61,4,152,214,125,439,12,790,51,26,92,1,170,144,95,335,8,582,807,1155,2855,82,4899,242,328,913,31,1514,131,45,271,4,451,241,313,884,30,1468,274,344,893,13,1524,2519,1621,8428,39,12607,143,100,426,10,679,115,45,168,6,334,44,24,46,0,114,59,121,229,4,413,207,80,480,8,775,871,2901,4097,62,7931,45,93,130,5,273,45145,
Lumpkin,7,7,16,0,30,12,12,32,0,56,1048,1178,4847,0,7073,11,15,41,0,67,52,38,110,0,200,14,10,20,0,44,29,23,76,0,128,48,111,156,0,315,11,15,31,0,57,32,8,95,0,135,12,11,42,0,65,47,103,153,0,303,769,791,2806,0,4366,13,12,32,0,57,52,18,111,0,181,9,5,10,0,24,1,12,5,0,18,31,13,71,0,115,157,853,1031,0,2041,5,21,18,0,44,15319,
