county,ai_male_17.5,ai_female_17.5,ai_unknown_17.5,ap_male_17.5,ap_female_17.5,ap_unknown_17.5,bh_male_17.5,bh_female_17.5,bh_unknown_17.5,hp_male_17.5,hp_female_17.5,hp_unknown_17.5,wh_male_17.5,wh_female_17.5,wh_unknown_17.5,ot_male_17.5,ot_female_17.5,ot_unknown_17.5,uk_male_17.5,uk_female_17.5,uk_unknown_17.5,ai_male_18-24,ai_female_18-24,ai_unknown_18-24,ap_male_18-24,ap_female_18-24,ap_unknown_18-24,bh_male_18-24,bh_female_18-24,bh_unknown_18-24,hp_male_18-24,hp_female_18-24,hp_unknown_18-24,wh_male_18-24,wh_female_18-24,wh_unknown_18-24,ot_male_18-24,ot_female_18-24,ot_unknown_18-24,uk_male_18-24,uk_female_18-24,uk_unknown_18-24,ai_male_25-29,ai_female_25-29,ai_unknown_25-29,ap_male_25-29,ap_female_25-29,ap_unknown_25-29,bh_male_25-29,bh_female_25-29,bh_unknown_25-29,hp_male_25-29,hp_female_25-29,hp_unknown_25-29,wh_male_25-29,wh_female_25-29,wh_unknown_25-29,ot_male_25-29,ot_female_25-29,ot_unknown_25-29,uk_male_25-29,uk_female_25-29,uk_unknown_25-29,ai_male_30-34,ai_female_30-34,ai_unknown_30-34,ap_male_30-34,ap_female_30-34,ap_unknown_30-34,bh_male_30-34,bh_female_30-34,bh_unknown_30-34,hp_male_30-34,hp_female_30-34,hp_unknown_30-34,wh_male_30-34,wh_female_30-34,wh_unknown_30-34,ot_male_30-34,ot_female_30-34,ot_unknown_30-34,uk_male_30-34,uk_female_30-34,uk_unknown_30-34,ai_male_35-39,ai_female_35-39,ai_unknown_35-39,ap_male_35-39,ap_female_35-39,ap_unknown_35-39,bh_male_35-39,bh_female_35-39,bh_unknown_35-39,hp_male_35-39,hp_female_35-39,hp_unknown_35-39,wh_male_35-39,wh_female_35-39,wh_unknown_35-39,ot_male_35-39,ot_female_35-39,ot_unknown_35-39,uk_male_35-39,uk_female_35-39,uk_unknown_35-39,ai_male_40-44,ai_female_40-44,ai_unknown_40-44,ap_male_40-44,ap_female_40-44,ap_unknown_40-44,bh_male_40-44,bh_female_40-44,bh_unknown_40-44,hp_male_40-44,hp_female_40-44,hp_unknown_40-44,wh_male_40-44,wh_female_40-44,wh_unknown_40-44,ot_male_40-44,ot_female_40-44,ot_unknown_40-44,uk_male_40-44,uk_female_40-44,uk_unknown_40-44,ai_male_45-49,ai_female_45-49,ai_unknown_45-49,ap_male_45-49,ap_female_45-49,ap_unknown_45-49,bh_male_45-49,bh_female_45-49,bh_unknown_45-49,hp_male_45-49,hp_female_45-49,hp_unknown_45-49,wh_male_45-49,wh_female_45-49,wh_unknown_45-49,ot_male_45-49,ot_female_45-49,ot_unknown_45-49,uk_male_45-49,uk_female_45-49,uk_unknown_45-49,ai_male_50-54,ai_female_50-54,ai_unknown_50-54,ap_male_50-54,ap_female_50-54,ap_unknown_50-54,bh_male_50-54,bh_female_50-54,bh_unknown_50-54,hp_male_50-54,hp_female_50-54,hp_unknown_50-54,wh_male_50-54,wh_female_50-54,wh_unknown_50-54,ot_male_50-54,ot_female_50-54,ot_unknown_50-54,uk_male_50-54,uk_female_50-54,uk_unknown_50-54,ai_male_55-59,ai_female_55-59,ai_unknown_55-59,ap_male_55-59,ap_female_55-59,ap_unknown_55-59,bh_male_55-59,bh_female_55-59,bh_unknown_55-59,hp_male_55-59,hp_female_55-59,hp_unknown_55-59,wh_male_55-59,wh_female_55-59,wh_unknown_55-59,ot_male_55-59,ot_female_55-59,ot_unknown_55-59,uk_male_55-59,uk_female_55-59,uk_unknown_55-59,ai_male_60-64,ai_female_60-64,ai_unknown_60-64,ap_male_60-64,ap_female_60-64,ap_unknown_60-64,bh_male_60-64,bh_female_60-64,bh_unknown_60-64,hp_male_60-64,hp_female_60-64,hp_unknown_60-64,wh_male_60-64,wh_female_60-64,wh_unknown_60-64,ot_male_60-64,ot_female_60-64,ot_unknown_60-64,uk_male_60-64,uk_female_60-64,uk_unknown_60-64,ai_male_65+,ai_female_65+,ai_unknown_65+,ap_male_65+,ap_female_65+,ap_unknown_65+,bh_male_65+,bh_female_65+,bh_unknown_65+,hp_male_65+,hp_female_65+,hp_unknown_65+,wh_male_65+,wh_female_65+,wh_unknown_65+,ot_male_65+,ot_female_65+,ot_unknown_65+,uk_male_65+,uk_female_65+,uk_unknown_65+
Candler County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,2,0,76,78,1,23,32,0,202,202,4,3,2,0,67,52,1,0,0,0,1,2,0,64,50,0,9,18,0,125,145,0,0,2,0,28,28,2,0,1,0,2,0,0,47,75,0,9,19,0,151,155,0,1,1,0,20,31,1,0,1,0,1,1,0,36,60,0,7,8,1,146,164,0,5,1,0,18,17,0,0,0,0,0,2,0,48,72,0,1,5,0,118,124,0,1,0,0,25,18,0,0,0,0,0,0,0,45,63,0,3,3,0,154,184,1,0,2,0,22,29,0,1,1,0,1,2,0,46,59,0,2,4,0,168,167,0,0,1,0,20,24,0,0,0,0,1,2,0,53,61,0,1,4,0,177,189,1,0,2,0,26,25,0,0,0,0,1,0,0,50,63,0,2,1,0,168,198,0,3,1,0,23,19,0,1,0,0,1,1,0,143,167,0,6,6,0,541,650,2,4,1,0,61,54,1
Carroll County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,20,1,30,41,1,1141,1328,6,248,290,3,3422,3488,25,158,225,4,454,428,11,5,12,0,36,30,0,797,941,1,125,136,0,2717,2824,7,75,109,1,382,313,7,9,9,0,25,31,0,655,773,1,90,90,0,2522,2657,2,42,64,0,323,312,1,5,8,0,25,40,0,554,650,0,69,74,0,2278,2437,4,41,53,0,277,342,2,11,12,0,16,24,0,541,630,1,71,81,0,2118,2309,3,31,37,0,311,283,1,10,7,0,18,29,0,566,654,2,65,60,0,2272,2443,3,33,38,0,290,272,0,8,10,0,21,24,0,547,671,0,52,61,0,2446,2588,4,23,40,0,332,256,0,7,6,0,20,19,0,492,588,0,56,43,0,2478,2570,8,23,17,0,363,324,0,6,3,0,15,16,0,410,510,0,26,29,0,2207,2481,0,17,21,0,311,298,0,10,7,0,29,28,0,721,1036,4,51,66,0,5626,6766,5,41,48,0,660,753,1
Catoosa County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,10,0,34,38,1,70,53,0,44,54,0,2060,2000,22,38,55,0,414,270,12,9,3,0,17,15,0,52,44,0,28,34,0,1383,1542,5,28,32,0,303,255,1,7,4,0,20,18,0,43,37,0,25,35,0,1374,1618,5,13,22,0,201,198,0,7,6,0,22,14,0,43,37,0,20,30,0,1297,1532,2,16,17,0,246,236,2,7,7,0,13,14,0,42,48,0,18,30,0,1464,1604,4,11,11,0,197,211,1,2,2,0,13,18,0,40,52,0,11,17,1,1509,1751,2,14,7,0,207,190,3,1,3,0,15,14,0,32,37,0,16,30,0,1635,1826,6,10,11,0,177,182,2,5,4,0,13,13,0,45,43,0,11,16,0,1637,1795,3,10,5,0,157,170,1,2,3,0,6,13,0,28,31,0,7,9,0,1427,1731,8,6,7,0,150,152,3,6,6,0,21,19,0,60,92,1,22,27,0,4201,5327,13,17,14,0,391,453,5
Charlton County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,5,1,0,53,56,0,7,3,0,223,207,2,7,7,0,79,56,0,0,0,0,3,0,0,47,53,0,0,1,0,173,193,0,5,7,0,49,50,0,0,0,0,1,1,0,45,86,0,2,1,0,157,168,0,5,3,1,40,31,0,1,0,0,1,3,0,33,59,0,1,2,0,144,162,0,0,2,0,29,21,0,1,1,0,0,2,0,41,49,0,1,1,0,115,146,1,2,2,0,31,20,0,1,1,0,1,0,0,41,57,0,3,1,0,147,191,0,2,2,0,31,23,0,0,0,0,1,2,0,46,60,0,1,0,0,169,210,0,1,0,0,44,36,1,0,0,0,1,5,0,54,68,0,2,0,0,204,232,1,1,0,0,37,32,0,0,0,0,1,0,0,72,76,0,1,1,0,195,207,0,2,3,0,39,32,0,3,1,0,5,1,0,128,142,0,2,3,0,515,567,0,0,5,0,73,77,0
Chatham County,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,37,36,0,200,252,1,4700,5388,38,480,550,3,4089,4723,49,332,461,3,862,739,42,35,37,0,211,198,1,3868,4380,16,460,476,2,4513,4964,27,269,338,2,875,839,18,38,32,0,175,211,2,3414,4251,6,361,377,1,4468,4604,14,249,259,1,912,873,15,33,23,0,172,191,1,3057,3618,4,301,332,1,4033,4113,11,207,199,0,841,791,15,24,20,0,132,148,1,2657,3495,7,224,271,1,3469,3546,6,150,147,0,720,668,10,19,24,0,139,162,1,2414,3000,2,181,194,0,3453,3597,4,104,117,0,640,605,10,26,32,0,106,139,1,2441,3123,3,185,194,2,3679,3769,5,102,102,0,595,593,7,23,14,0,133,143,0,2631,3325,5,127,172,0,3891,4231,6,83,117,2,615,644,5,18,13,0,122,136,1,2355,3045,5,119,123,1,4023,4576,6,90,81,0,574,589,15,20,19,0,251,259,0,4815,7369,7,167,185,0,11873,14612,17,132,160,1,1322,1522,22
Chattahoochee County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,5,7,0,83,62,0,37,29,0,174,117,0,10,13,0,100,50,1,0,1,0,13,11,0,91,66,0,42,23,0,181,161,0,9,6,0,100,41,1,0,1,0,6,8,0,49,50,1,22,28,0,108,127,1,6,9,0,62,24,0,0,0,0,0,4,0,36,45,0,16,16,0,89,96,1,9,8,0,24,20,0,0,0,0,4,4,0,32,57,0,9,15,0,78,76,0,4,3,0,20,11,0,0,0,0,0,1,0,32,37,0,5,3,0,65,63,0,0,5,0,8,13,1,1,1,0,0,1,0,31,39,0,5,2,0,64,68,0,1,1,0,11,12,0,0,0,0,1,1,0,25,38,0,8,0,0,79,63,0,0,1,0,5,9,0,0,0,0,2,3,0,30,36,0,3,2,0,51,63,0,1,0,0,8,3,0,0,0,0,1,3,0,47,74,0,2,5,0,132,144,0,1,1,0,8,8,0
Chattooga County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,2,0,36,28,0,34,29,0,573,589,1,16,23,0,151,129,0,2,1,0,2,0,0,41,45,0,13,10,0,377,407,0,8,13,0,74,68,1,1,0,0,2,2,0,28,37,0,3,4,0,362,443,1,6,8,0,69,56,0,0,0,0,4,6,0,19,37,0,5,8,0,345,458,1,3,6,0,61,37,0,0,1,0,2,3,0,30,29,0,4,4,0,404,469,1,4,9,0,54,49,0,1,1,0,2,3,0,32,41,0,7,7,0,432,503,0,2,3,0,50,53,0,2,0,0,2,2,0,45,58,0,1,2,0,464,532,0,0,2,0,63,55,0,3,4,0,0,1,0,40,40,0,4,3,0,492,588,1,7,2,0,61,44,0,1,3,0,1,2,0,50,35,0,2,1,0,511,585,1,1,4,0,39,57,0,2,1,0,4,4,0,95,158,0,6,2,0,1395,1603,0,3,4,0,94,112,0
Cherokee County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,33,0,192,217,2,801,774,5,909,1004,5,7909,7969,68,284,331,4,1559,1201,23,16,21,0,123,115,1,568,561,0,413,494,2,5222,5346,18,185,187,0,1029,859,8,14,20,0,87,130,0,467,544,2,332,402,0,5369,5776,6,135,162,1,788,762,8,13,19,0,123,153,0,440,580,0,279,371,2,5426,5884,7,144,151,1,872,829,5,23,12,0,110,144,0,497,680,2,309,419,0,5497,6083,4,131,127,0,817,784,6,9,18,0,108,177,1,579,688,2,317,406,0,6387,6804,7,112,120,0,799,677,3,11,15,0,113,148,0,469,615,0,319,308,2,6754,7059,2,93,109,0,800,739,5,11,14,0,77,114,0,435,517,1,247,278,0,6656,7130,4,82,90,0,752,714,4,14,10,0,82,88,0,305,339,0,166,172,2,5998,6607,2,61,75,1,630,622,6,13,19,0,148,184,0,434,682,1,261,362,1,15004,18014,9,153,123,0,1671,1988,14
Clarke County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,15,0,223,289,3,1395,1615,9,517,600,6,3162,3747,43,186,241,1,513,437,32,15,11,0,103,124,1,1128,1426,3,258,334,3,2854,3152,21,120,145,2,568,469,27,6,10,0,67,66,0,921,1225,2,157,153,1,2445,2298,10,80,103,0,526,461,13,8,5,0,39,55,1,778,1030,3,107,99,0,1672,1726,7,48,60,2,397,351,3,2,4,0,27,28,1,761,967,3,80,94,0,1504,1378,5,36,52,0,319,284,5,5,2,0,31,41,0,639,836,1,50,77,0,1286,1267,3,34,40,0,268,211,4,4,5,0,18,39,0,617,853,0,76,79,3,1210,1279,3,23,30,1,228,206,5,4,6,0,40,38,0,694,894,4,67,65,1,1149,1276,3,23,27,0,231,220,2,1,4,0,28,37,1,671,884,4,49,59,0,1139,1346,3,23,37,0,206,213,2,2,8,0,63,71,1,1147,1821,4,69,81,0,3956,5236,8,44,51,0,455,599,13
Clay County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,73,1,0,0,0,25,20,0,0,1,0,11,7,0,0,0,0,0,0,0,40,58,1,0,0,0,19,19,0,0,0,0,2,5,0,0,0,0,0,0,0,43,64,0,0,0,0,13,17,0,0,0,0,6,4,0,0,0,0,1,1,0,35,66,0,0,0,0,23,26,1,0,0,0,1,1,0,0,0,0,0,0,0,35,51,0,0,0,0,29,28,0,0,0,0,3,3,0,0,0,0,0,0,0,29,37,0,0,1,0,23,24,0,0,0,0,0,4,0,1,0,0,0,0,0,33,51,0,0,0,0,40,34,0,0,0,0,3,1,0,0,0,0,0,0,0,42,46,0,0,0,0,30,40,0,0,0,0,4,5,0,0,0,0,0,1,0,43,51,0,1,2,0,42,37,0,0,0,0,4,4,0,0,0,0,0,0,0,108,156,0,0,0,0,161,191,0,1,0,0,14,9,0
Clayton County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,37,1,445,439,2,9330,10142,78,1418,1537,11,744,793,3,427,540,6,1123,973,35,32,26,0,344,295,2,7537,9014,22,631,729,2,717,756,1,353,420,1,1099,1012,25,41,25,0,241,246,4,6911,8944,12,380,439,1,697,717,1,317,428,1,991,1115,11,22,22,1,217,250,1,5423,7128,13,259,348,0,592,662,1,264,298,3,856,993,11,35,24,0,134,164,3,5057,6723,9,217,272,4,521,589,3,161,288,0,754,847,8,13,11,0,237,244,4,5005,6966,15,212,251,0,537,569,2,152,222,0,720,857,9,14,11,0,245,198,1,5061,6875,15,234,242,3,693,713,3,111,172,0,702,810,5,15,15,0,199,174,2,4865,6674,10,241,183,2,855,918,2,105,162,1,702,774,12,12,19,0,170,190,1,4123,5672,8,154,151,0,928,1021,1,95,141,0,597,668,18,22,24,0,662,586,9,5916,8868,20,260,261,3,3071,3924,9,169,232,5,996,1365,68
Clinch County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,3,0,70,74,2,2,3,0,157,134,2,5,8,0,24,20,0,0,2,0,0,1,0,43,61,0,2,3,0,96,107,0,2,3,0,16,5,0,1,0,0,0,1,0,54,68,0,2,3,0,99,112,0,1,3,0,11,13,0,0,1,0,0,0,0,41,61,0,2,1,0,100,134,2,0,0,0,4,8,0,1,1,0,1,1,0,21,61,0,1,0,0,103,110,0,0,2,0,9,6,0,0,2,0,0,0,0,41,62,0,5,1,0,108,122,0,1,0,0,10,12,0,0,0,0,0,0,0,43,46,0,0,2,0,104,133,0,0,0,0,9,7,0,0,0,0,1,0,0,45,77,0,0,1,0,138,118,0,0,0,0,12,11,0,1,0,0,0,0,0,60,59,0,0,1,0,114,119,0,0,0,0,10,7,0,1,0,0,2,2,0,78,105,0,3,2,0,347,391,0,0,1,0,28,16,0
Cobb County,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,91,82,0,1314,1318,9,9673,10388,51,4145,4235,15,14844,14488,81,1270,1559,12,2525,2247,101,78,69,0,821,808,2,7600,8881,18,2149,2319,8,12370,12418,57,928,1199,6,2434,2156,48,65,69,0,744,870,0,7135,8898,17,1427,1762,3,11939,12026,18,760,1017,5,2147,2298,41,56,63,0,704,883,3,5988,8355,18,1080,1444,4,10872,11198,13,658,894,5,2058,2173,32,53,57,0,737,1024,2,5843,8152,7,1053,1320,6,10440,11057,5,582,721,2,1776,2057,30,54,57,0,981,1134,3,5941,7951,10,983,1346,3,11273,11699,8,488,646,6,1723,1794,17,54,54,0,855,937,2,5547,7270,10,1025,1069,4,12646,12962,20,438,508,3,1598,1618,26,48,41,0,707,730,1,4964,6947,6,865,943,3,12672,13756,20,383,467,2,1389,1497,20,38,30,0,567,583,1,3875,5158,8,576,646,0,12423,13193,14,319,386,1,1153,1182,20,54,66,0,1141,1227,9,5185,8224,11,877,1179,1,31242,38110,20,558,718,1,2299,2824,32
Coffee County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,12,10,0,410,511,3,147,161,0,807,804,4,23,25,0,223,181,1,1,3,0,7,3,0,335,385,2,87,86,1,632,688,4,18,20,0,98,104,2,5,4,0,5,5,0,296,417,1,38,50,0,578,670,0,13,11,0,49,50,0,0,3,0,3,7,0,239,322,0,35,37,0,569,658,1,5,8,0,51,49,0,1,0,0,3,4,0,206,320,0,31,33,0,606,678,1,4,3,1,46,40,2,4,1,0,6,13,0,221,330,0,24,29,0,586,709,0,3,4,0,50,37,0,1,1,0,9,5,0,220,308,1,27,22,0,608,707,1,3,5,0,43,32,0,1,1,0,2,6,0,229,324,2,19,18,2,653,756,1,5,4,0,47,40,1,0,0,0,7,4,0,234,310,0,13,12,0,621,750,0,6,2,0,54,42,2,3,2,0,14,10,0,435,627,0,23,13,0,1643,2042,3,7,8,0,93,99,1
Colquitt County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,8,9,0,343,369,2,233,281,0,742,808,9,36,41,1,154,110,1,0,2,0,6,3,0,258,302,0,117,115,0,582,614,3,12,17,0,97,74,0,3,1,0,3,3,0,213,339,0,57,64,0,586,622,0,5,18,0,40,66,0,1,1,0,6,9,0,200,313,0,35,53,0,568,664,0,11,16,0,40,52,0,1,3,0,6,8,0,187,278,0,24,43,0,589,640,3,7,11,0,53,58,3,0,1,0,8,7,0,175,255,0,26,33,0,605,626,0,8,4,0,70,43,2,6,3,0,7,7,0,215,217,0,37,19,0,640,717,1,4,14,0,52,49,0,1,2,0,7,4,0,216,265,0,19,34,0,716,753,0,5,6,0,49,55,1,3,1,0,3,8,0,218,257,1,17,15,0,662,719,1,4,7,0,64,42,3,2,0,0,7,8,0,395,552,2,43,32,0,2005,2505,3,7,9,0,114,129,6
Columbia County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,20,0,220,208,1,1234,1268,10,333,359,1,3918,3951,23,237,289,1,519,424,5,8,25,0,152,155,2,736,865,6,197,236,1,2776,3044,10,120,172,1,412,370,10,11,18,0,153,206,1,732,956,4,201,256,1,3050,3278,4,115,161,0,419,426,4,14,10,0,116,192,0,757,1084,3,170,258,0,2969,3304,9,99,144,0,447,487,5,11,13,0,131,152,1,812,983,2,175,204,0,2795,3047,3,99,125,0,439,483,7,15,12,0,154,175,1,790,957,1,139,174,0,2842,3065,4,88,105,1,385,379,3,14,15,0,109,150,0,758,928,1,128,156,0,2914,3045,0,45,78,0,369,334,4,15,6,0,108,181,0,774,879,0,104,130,0,2900,3236,2,67,64,0,333,277,4,11,6,0,112,160,2,573,667,1,96,81,0,2693,3099,3,40,47,0,262,270,4,14,19,0,304,380,1,1005,1275,0,124,145,0,7288,8263,9,102,126,0,509,652,6
Cook County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,5,0,189,211,0,31,47,0,410,388,0,16,11,0,13,13,0,1,0,0,1,2,0,122,152,1,21,14,0,312,282,1,6,7,0,24,15,0,0,0,0,2,4,0,102,149,0,9,6,0,275,322,0,2,8,0,12,8,0,0,0,0,0,4,0,73,127,0,6,7,0,264,272,0,4,4,0,9,8,0,0,2,0,3,2,0,101,149,0,5,3,0,266,297,0,0,0,0,9,5,0,1,2,0,2,3,0,79,120,0,2,5,0,315,315,0,3,1,0,15,10,0,2,1,0,5,2,0,97,129,0,4,6,0,298,315,0,2,4,0,15,6,0,1,0,0,1,2,0,119,149,0,3,5,0,278,325,0,2,0,0,15,7,0,0,0,0,1,0,0,103,134,0,1,5,0,294,289,0,1,2,0,11,14,0,0,0,0,5,4,0,198,299,0,4,3,0,786,950,0,1,3,0,28,28,0
Coweta County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,15,0,85,108,1,824,1012,10,241,315,4,3499,3764,48,155,168,5,1051,778,16,6,8,0,51,57,1,633,798,3,123,180,0,2566,2735,6,74,113,1,650,530,5,4,5,0,53,41,0,568,854,0,121,152,0,2646,2877,6,50,65,0,499,518,4,5,6,0,53,77,0,522,802,2,122,152,0,2525,2854,3,63,69,0,558,530,7,2,5,0,46,81,0,521,809,3,93,142,1,2618,2946,7,54,59,1,538,497,4,5,9,0,58,79,0,585,773,2,102,141,1,2890,3127,4,53,47,0,536,491,3,11,1,0,61,66,0,589,788,0,124,130,0,3325,3555,9,38,41,0,530,560,2,8,6,0,34,60,0,590,787,2,87,115,1,3280,3428,8,42,41,0,534,527,3,5,3,0,29,40,0,525,731,1,64,74,0,2888,3038,3,30,31,0,417,412,5,8,7,0,48,74,0,955,1424,4,109,127,0,6858,8156,13,46,62,0,853,1026,9
Crawford County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,2,3,0,85,70,1,7,12,0,335,258,0,12,11,0,48,25,0,3,1,0,0,0,0,52,65,0,7,7,0,227,204,0,3,7,0,40,24,2,0,1,0,1,0,0,61,57,1,3,7,0,222,256,0,2,6,0,24,14,0,2,2,0,1,0,0,45,43,1,5,2,0,198,235,0,5,4,0,18,17,0,0,0,0,1,0,0,56,53,0,1,3,0,204,223,0,3,2,0,11,17,1,0,1,0,1,2,0,48,63,0,3,3,0,249,271,0,1,2,0,22,19,0,2,0,0,1,3,0,61,76,0,2,2,0,276,266,1,1,1,0,19,17,0,2,1,0,0,4,0,77,86,0,2,7,0,338,364,0,1,0,0,32,24,0,1,0,0,1,0,0,64,111,0,1,0,0,301,324,0,4,0,0,19,17,0,1,3,0,1,4,0,180,252,1,2,4,0,721,762,1,6,6,0,42,34,0
Crisp County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,10,12,0,290,387,4,8,15,0,280,289,3,10,10,0,57,43,10,0,1,0,2,1,0,216,345,1,4,11,0,216,236,0,9,6,0,22,26,0,1,0,0,3,2,0,189,318,0,3,6,0,195,228,0,3,7,0,22,21,0,1,0,0,4,2,0,205,272,1,6,2,0,230,223,0,2,6,0,16,19,0,0,1,0,4,3,0,161,255,0,2,1,0,190,239,0,3,5,0,19,17,0,0,0,0,2,5,0,160,233,0,6,0,0,224,284,0,0,1,0,14,25,0,2,1,0,3,3,0,134,235,0,4,5,0,257,285,0,3,3,0,20,14,0,2,1,0,4,2,0,156,247,0,4,4,0,293,315,0,5,2,0,12,16,0,0,0,0,2,3,0,177,241,0,0,4,0,279,334,0,4,2,0,18,18,0,1,0,0,6,6,0,341,517,1,4,8,0,953,1145,1,1,4,0,45,44,2
Dade County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,3,8,0,6,2,0,14,10,0,1014,429,3,3,7,0,124,67,0,5,0,0,1,2,0,4,0,0,13,4,0,623,378,1,4,5,0,102,64,1,2,3,0,3,3,0,3,4,0,8,11,0,387,380,0,6,1,0,78,42,1,0,0,0,4,2,0,1,1,0,2,2,0,348,379,0,4,5,0,43,46,0,0,1,0,2,1,0,1,3,0,3,2,0,355,349,2,2,0,0,34,35,0,1,2,0,1,2,0,2,1,0,1,3,0,329,332,0,1,2,0,44,39,0,3,0,0,1,3,0,2,0,0,2,3,0,333,394,1,0,0,0,40,32,0,1,2,0,2,3,0,0,2,0,0,1,0,363,434,0,2,1,0,40,48,1,1,0,0,1,2,0,2,0,0,1,2,0,440,494,1,0,2,1,39,41,0,2,4,0,3,3,0,8,5,0,1,4,0,1157,1341,1,1,2,1,93,95,0
Dawson County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,0,12,11,0,15,6,0,41,41,0,1017,970,6,20,11,0,86,72,0,3,3,0,4,7,0,9,4,0,14,27,0,705,734,1,11,12,0,66,63,1,2,2,0,5,9,0,12,8,0,23,30,0,721,700,1,14,8,0,55,55,1,2,3,0,9,4,0,10,7,0,16,20,0,623,610,0,9,5,0,43,56,0,2,2,0,7,4,0,8,3,0,14,15,0,598,608,0,9,2,0,57,41,1,0,3,0,7,9,0,8,5,0,15,10,0,718,733,0,6,10,0,67,50,0,3,0,0,4,7,0,6,5,0,17,14,0,760,820,0,4,6,0,84,68,0,0,6,0,2,6,0,2,3,0,15,14,0,911,969,0,5,9,0,78,82,4,3,2,0,3,5,0,1,2,0,14,15,0,838,988,0,3,9,0,74,66,1,2,2,0,9,12,0,2,1,0,11,22,0,2430,2649,1,15,8,0,194,207,2
Decatur County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,5,3,0,403,422,0,40,53,0,426,450,0,12,10,0,126,75,0,0,3,0,3,3,0,285,353,0,19,25,0,285,330,0,6,10,0,41,38,1,2,4,0,5,5,0,223,364,1,16,15,0,311,356,1,4,2,0,36,25,2,2,4,0,3,3,0,160,318,0,10,11,0,296,325,1,6,2,0,29,22,0,0,2,0,0,0,0,196,288,0,4,18,0,293,316,2,3,2,0,23,22,0,0,2,0,0,4,0,208,326,0,7,6,0,312,366,0,5,6,0,27,28,3,0,0,0,4,6,0,202,313,0,10,9,0,324,372,0,6,3,0,33,22,1,0,3,0,2,6,1,225,334,1,4,8,0,406,453,0,4,5,0,37,33,1,0,2,0,1,1,0,226,299,0,7,5,0,397,446,1,1,1,0,27,19,1,2,3,0,4,5,0,433,692,2,5,9,1,1215,1474,2,4,7,0,60,74,6
Dekalb County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,100,0,1071,1339,4,17476,18301,30,1902,2001,3,6249,7174,33,1142,1479,6,2316,1938,32,83,78,0,934,1109,1,14935,17188,10,1040,1311,0,7785,9042,7,1165,1476,4,2762,2639,14,83,80,0,1027,1195,3,14191,16772,2,850,1003,2,9397,9836,12,1182,1378,3,3129,3053,16,62,54,0,855,1005,1,11852,13905,7,617,717,0,7921,8297,8,851,1068,2,2965,2796,4,52,50,0,680,838,1,10526,12813,5,571,624,0,6845,7316,3,665,827,2,2448,2375,8,56,45,0,705,767,2,10056,12265,3,481,534,0,6895,6760,1,533,659,0,2077,2068,6,40,45,0,642,637,0,10072,12452,2,458,471,0,6986,6975,2,425,545,2,1845,1774,7,32,40,0,519,538,1,10239,13515,9,377,409,0,6805,6547,2,346,476,0,1680,1764,4,31,34,0,364,441,0,8759,12210,4,265,309,0,5847,6291,4,308,374,0,1464,1538,3,44,63,0,1177,1331,1,16867,26510,7,460,667,1,15840,20887,4,495,695,1,3022,3737,10
