OBJECTID,STATEFP10,COUNTYFP10,GEOID10,NAME10,NAMELSAD10,totpop10,WFD,RDC_AAA,MNGWPD,MPO,MSA,F1HR_NA,F8HR_NA,Reg_Comm,Acres,Sq_Miles,Label,GlobalID,last_edited_date
131,13,145,13145,Harris,Harris County,32024,N,N,N,N,N,N,N,River Valley,302667,472.91799927,HARRIS,{A388E60C-9DEC-4367-B662-CFDC2645ECFB},1970/01/01 00:00:00+00
132,13,277,13277,Tift,Tift County,40118,N,N,N,N,N,N,N,Southern Georgia,172006,268.75900269,TIFT,{7D786597-AA68-4075-A7C3-759458D6510E},1970/01/01 00:00:00+00
133,13,161,13161,Jeff Davis,Jeff Davis County,15068,N,N,N,N,N,N,N,Heart of Georgia Altamaha,214723,335.5039978,JEFF DAVIS,{1EFDB4D6-8067-4077-BC2D-92B24AD6F81A},1970/01/01 00:00:00+00
134,13,257,13257,Stephens,Stephens County,26175,N,N,N,N,N,N,N,Georgia Mountains,117881,184.19000244,STEPHENS,{58CFC9A3-8332-45B1-8805-00679B7303BC},1970/01/01 00:00:00+00
135,13,071,13071,Colquitt,Colquitt County,45498,N,N,N,N,N,N,N,Southwest Georgia,356190,556.54797363,COLQUITT,{4D23CE4A-9FAE-42BE-A91E-7E47B0A3A296},1970/01/01 00:00:00+00
136,13,283,13283,Treutlen,Treutlen County,6885,N,N,N,N,N,N,N,Heart of Georgia Altamaha,129614,202.52200317,TREUTLEN,{3E1998DD-B39E-4EE9-9F98-782D0BF0F0BA},1970/01/01 00:00:00+00
137,13,189,13189,McDuffie,McDuffie County,21875,N,N,N,N,N,N,N,Central Savannah River Area,170557,266.49499512,MCDUFFIE,{9E08A91E-F9BD-4594-8D7B-08F0CD9AECDD},1970/01/01 00:00:00+00
138,13,089,13089,DeKalb,DeKalb County,691893,N,Y,Y,Y,Y,Y,Y,Atlanta Regional Commission,173496,271.08700562,DEKALB,{3912F679-CB5F-4618-B448-53B943B436DF},1970/01/01 00:00:00+00
139,13,115,13115,Floyd,Floyd County,96317,N,N,N,N,N,N,N,Northwest Georgia,331827,518.47998047,FLOYD,{ED00C8F8-7175-42A5-99D6-9D8BDC20EB15},1970/01/01 00:00:00+00
140,13,237,13237,Putnam,Putnam County,21218,N,N,N,N,N,N,N,Middle Georgia,230824,360.6619873,PUTNAM,{795F9A85-69FA-4BDB-AC2B-4F43C3B21C50},1970/01/01 00:00:00+00
141,13,273,13273,Terrell,Terrell County,9315,N,N,N,N,N,N,N,Southwest Georgia,216090,337.64001465,TERRELL,{41086D18-A3A1-465C-B85F-546033DB0E1E},1970/01/01 00:00:00+00
142,13,267,13267,Tattnall,Tattnall County,25520,N,N,N,N,N,N,N,Heart of Georgia Altamaha,312786,488.72799683,TATTNALL,{CE06C87B-7214-49BF-994B-664334CC475E},1970/01/01 00:00:00+00
143,13,079,13079,Crawford,Crawford County,12630,N,N,N,N,N,N,N,Middle Georgia,208890,326.39001465,CRAWFORD,{28D4E7EC-72D6-433E-B409-848FD30B036F},1970/01/01 00:00:00+00
144,13,183,13183,Long,Long County,14464,N,N,N,N,N,N,N,Coastal Regional Commission,258724,404.25601196,LONG,{90D6D72D-47AD-4493-A95B-38EB3EE149E6},1970/01/01 00:00:00+00
145,13,147,13147,Hart,Hart County,25213,N,N,N,N,N,N,N,Georgia Mountains,164463,256.97299194,HART,{25444153-1C63-43BB-AAD9-5B11CCD486AC},1970/01/01 00:00:00+00
146,13,057,13057,Cherokee,Cherokee County,214346,Y,Y,Y,Y,Y,Y,Y,Atlanta Regional Commission,277969,434.32598877,CHEROKEE,{2E5CA3D4-B14C-4E90-9E96-1C3D7AA86608},1970/01/01 00:00:00+00
147,13,053,13053,Chattahoochee,Chattahoochee County,11267,N,N,N,N,N,N,N,River Valley,160727,251.13600159,CHATTAHOOCHEE,{1A3AC460-F36D-44A9-A304-90E510144676},1970/01/01 00:00:00+00
148,13,209,13209,Montgomery,Montgomery County,9123,N,N,N,N,N,N,N,Heart of Georgia Altamaha,156663,244.78599548,MONTGOMERY,{FB84BFED-A340-4FAF-B33F-B4BE832143E3},1970/01/01 00:00:00+00
149,13,297,13297,Walton,Walton County,83768,N,N,N,Partial,Y,N,N,Northeast Georgia,211166,329.9460144,WALTON,{AC6F6636-DC09-40BB-9C44-6A43E3664156},2015/10/14 17:22:08+00
150,13,231,13231,Pike,Pike County,17869,N,N,N,Partial,Y,N,N,Three Rivers,140392,219.36300659,PIKE,{FF6BC82B-44E8-49ED-890C-552258C1EAC7},2015/10/14 17:36:02+00
151,13,017,13017,Ben Hill,Ben Hill County,17634,N,N,N,N,N,N,N,Southern Georgia,162500,253.90600586,BEN HILL,{6D3550C8-5513-4BB6-AC63-43E8B86E0630},1970/01/01 00:00:00+00
152,13,013,13013,Barrow,Barrow County,69367,N,N,N,Partial,Y,N,N,Northeast Georgia,104266,162.91499329,BARROW,{76FCF409-DF1F-401B-9A6C-C4F0476F3647},2015/10/14 17:21:47+00
153,13,011,13011,Banks,Banks County,18395,N,N,N,N,N,N,N,Georgia Mountains,149671,233.86099243,BANKS,{8E9BBF53-95B2-4FA4-ABD5-39B02E25DC10},1970/01/01 00:00:00+00
154,13,223,13223,Paulding,Paulding County,142324,N,N,Y,Y,Y,Y,Y,Northwest Georgia,201159,314.31100464,PAULDING,{B2B4F642-C02B-440C-90F1-9B42748EF6D0},1970/01/01 00:00:00+00
155,13,131,13131,Grady,Grady County,25011,N,N,N,N,N,N,N,Southwest Georgia,294510,460.17098999,GRADY,{CA0502F7-D929-4AC1-AA26-088750C16EF3},1970/01/01 00:00:00+00
156,13,129,13129,Gordon,Gordon County,55186,N,N,N,N,N,N,N,Northwest Georgia,229125,358.00799561,GORDON,{A4390658-671E-4BA5-8A6A-0BB22820933A},1970/01/01 00:00:00+00
157,13,157,13157,Jackson,Jackson County,60485,N,N,N,N,N,N,N,Northeast Georgia,219556,343.05599976,JACKSON,{53521898-9A6F-4C81-8CB3-6BD5137A2040},1970/01/01 00:00:00+00
158,13,313,13313,Whitfield,Whitfield County,102599,N,N,N,N,N,N,N,Northwest Georgia,186262,291.03399658,WHITFIELD,{3167B8A9-2C9D-4583-B052-4C194E8BA018},1970/01/01 00:00:00+00
159,13,137,13137,Habersham,Habersham County,43041,N,N,N,N,N,N,N,Georgia Mountains,178555,278.99200439,HABERSHAM,{7849098F-F377-438B-8594-2E769E3B6357},1970/01/01 00:00:00+00
