




County                        Registered Voters             Ballots Cast                  Voter Turnout                 
PINCKNEYVILLE A               2791                          7                             0                             3                             0                             10                            6                             4                             2                             0                             12                            34                            60                            27                            3                             124                           4                             2                             2                             0                             8                             6                             11                            4                             0                             21                            5                             3                             2                             0                             10                            3                             5                             0                             0                             8                             64                            90                            53                            1                             208                           18                            35                            14                            1                             68                            7                             6                             5                             0                             18                            38                            48                            19                            0                             105                           25                            35                            19                            0                             79                            51                            54                            26                            0                             131                           17                            20                            3                             0                             40                            6                             5                             2                             0                             13                            0                             3                             1                             0                             4                             0                             4                             2                             1                             7                             7                             1                             1                             0                             9                             149                           360                           203                           1                             713                           7                             7                             2                             0                             16                            1604                          
PINCKNEYVILLE B               3485                          3                             7                             1                             0                             11                            2                             4                             2                             0                             8                             40                            117                           31                            1                             189                           4                             1                             5                             0                             10                            11                            17                            3                             0                             31                            1                             3                             1                             0                             5                             10                            12                            3                             1                             26                            70                            141                           61                            2                             274                           19                            33                            12                            0                             64                            6                             11                            4                             0                             21                            29                            54                            25                            0                             108                           17                            52                            17                            2                             88                            41                            81                            69                            0                             191                           11                            26                            5                             0                             42                            7                             6                             1                             0                             14                            3                             3                             6                             0                             12                            3                             3                             1                             0                             7                             3                             9                             1                             0                             13                            129                           421                           227                           0                             777                           8                             15                            3                             0                             26                            1917                          
PINCKNEYVILLE C               2082                          0                             0                             2                             0                             2                             1                             1                             3                             0                             5                             88                            86                            101                           0                             275                           0                             2                             3                             0                             5                             5                             4                             3                             0                             12                            2                             0                             2                             0                             4                             8                             3                             0                             0                             11                            15                            49                            24                            2                             90                            4                             11                            13                            0                             28                            6                             7                             2                             0                             15                            3                             24                            8                             0                             35                            9                             28                            31                            0                             68                            131                           178                           154                           1                             464                           3                             8                             0                             0                             11                            6                             3                             3                             0                             12                            2                             1                             1                             0                             4                             0                             1                             6                             0                             7                             3                             1                             1                             0                             5                             89                            213                           276                           2                             580                           1                             3                             6                             0                             10                            1643                          
PINCKNEYVILLE D               2264                          4                             4                             2                             0                             10                            5                             3                             1                             0                             9                             23                            55                            31                            0                             109                           3                             4                             2                             0                             9                             7                             14                            5                             1                             27                            1                             2                             1                             0                             4                             8                             9                             0                             1                             18                            63                            75                            43                            1                             182                           21                            25                            13                            0                             59                            6                             4                             0                             0                             10                            30                            50                            13                            0                             93                            16                            44                            8                             0                             68                            30                            53                            26                            0                             109                           7                             12                            1                             0                             20                            3                             5                             1                             0                             9                             0                             3                             0                             0                             3                             2                             6                             1                             0                             9                             2                             3                             0                             0                             5                             112                           212                           125                           1                             450                           12                            8                             3                             0                             23                            1226                          
SUGAR HILL A                  4654                          4                             13                            2                             0                             19                            1                             4                             4                             0                             9                             133                           307                           131                           2                             573                           4                             5                             2                             0                             11                            10                            18                            2                             0                             30                            2                             5                             1                             0                             8                             10                            25                            10                            0                             45                            40                            106                           68                            0                             214                           17                            29                            22                            0                             68                            10                            17                            9                             0                             36                            27                            63                            23                            0                             113                           25                            59                            25                            0                             109                           205                           459                           169                           0                             833                           9                             19                            1                             0                             29                            15                            16                            2                             0                             33                            1                             6                             2                             0                             9                             2                             4                             6                             0                             12                            9                             13                            2                             0                             24                            125                           346                           291                           2                             764                           6                             8                             3                             0                             17                            2956                          
SUGAR HILL B                  5596                          8                             6                             4                             0                             18                            1                             9                             8                             0                             18                            148                           382                           134                           8                             672                           4                             1                             8                             0                             13                            32                            32                            8                             1                             73                            3                             10                            4                             0                             17                            13                            35                            15                            0                             63                            51                            146                           92                            0                             289                           8                             40                            17                            0                             65                            18                            33                            13                            0                             64                            28                            55                            29                            1                             113                           31                            82                            32                            0                             145                           264                           637                           206                           2                             1109                          10                            19                            8                             0                             37                            13                            24                            9                             0                             46                            3                             5                             5                             0                             13                            2                             6                             6                             0                             14                            14                            16                            1                             0                             31                            142                           568                           368                           4                             1082                          5                             18                            9                             0                             32                            3914                          
HOG MOUNTAIN A                5011                          2                             7                             2                             0                             11                            6                             5                             1                             0                             12                            116                           289                           108                           0                             513                           7                             4                             4                             0                             15                            16                            26                            3                             0                             45                            3                             4                             2                             0                             9                             9                             17                            4                             0                             30                            63                            186                           101                           0                             350                           15                            56                            22                            0                             93                            10                            10                            7                             0                             27                            41                            79                            37                            1                             158                           38                            87                            36                            0                             161                           139                           364                           151                           0                             654                           13                            24                            4                             0                             41                            9                             11                            7                             0                             27                            3                             5                             3                             0                             11                            4                             6                             4                             0                             14                            8                             11                            1                             0                             20                            138                           633                           415                           0                             1186                          9                             12                            5                             0                             26                            3403                          
HOG MOUNTAIN B                4583                          1                             4                             4                             0                             9                             3                             8                             3                             0                             14                            135                           403                           171                           0                             709                           2                             5                             4                             0                             11                            11                            24                            6                             0                             41                            3                             3                             4                             0                             10                            14                            28                            5                             0                             47                            35                            103                           63                            0                             201                           7                             29                            17                            0                             53                            9                             13                            8                             0                             30                            13                            56                            30                            0                             99                            22                            63                            28                            0                             113                           187                           540                           204                           0                             931                           9                             15                            7                             0                             31                            6                             17                            4                             0                             27                            5                             6                             1                             0                             12                            3                             4                             9                             0                             16                            11                            11                            2                             0                             24                            95                            490                           450                           1                             1036                          4                             9                             10                            0                             23                            3437                          
ROCKYCREEK A                  5939                          2                             10                            3                             0                             15                            3                             6                             4                             0                             13                            147                           534                           130                           0                             811                           5                             8                             3                             0                             16                            18                            26                            7                             0                             51                            3                             7                             1                             0                             11                            17                            30                            11                            0                             58                            53                            188                           73                            3                             317                           17                            50                            27                            1                             95                            12                            22                            4                             0                             38                            27                            96                            41                            0                             164                           38                            91                            22                            0                             151                           240                           819                           221                           0                             1280                          7                             30                            4                             0                             41                            15                            12                            5                             0                             32                            4                             10                            4                             0                             18                            0                             11                            5                             0                             16                            8                             24                            3                             0                             35                            137                           647                           418                           0                             1202                          3                             15                            12                            0                             30                            4394                          
CATES B                       1587                          1                             1                             1                             0                             3                             6                             4                             1                             0                             11                            41                            114                           67                            0                             222                           0                             3                             2                             0                             5                             2                             5                             2                             0                             9                             2                             2                             0                             0                             4                             5                             9                             1                             0                             15                            10                            31                            26                            1                             68                            5                             6                             2                             0                             13                            1                             4                             0                             0                             5                             5                             15                            7                             0                             27                            8                             23                            15                            0                             46                            88                            184                           96                            0                             368                           7                             11                            1                             0                             19                            6                             3                             1                             0                             10                            1                             2                             0                             0                             3                             2                             2                             2                             0                             6                             1                             4                             1                             0                             6                             38                            148                           127                           0                             313                           0                             1                             4                             0                             5                             1158                          
CATES C                       2903                          1                             2                             1                             0                             4                             3                             3                             1                             0                             7                             53                            112                           57                            1                             223                           2                             4                             0                             0                             6                             6                             3                             5                             0                             14                            2                             1                             0                             0                             3                             4                             7                             1                             0                             12                            31                            112                           32                            1                             176                           14                            26                            25                            0                             65                            2                             5                             1                             0                             8                             14                            65                            23                            2                             104                           10                            30                            10                            0                             50                            97                            172                           114                           0                             383                           4                             23                            2                             0                             29                            2                             3                             2                             0                             7                             3                             1                             2                             0                             6                             1                             1                             1                             0                             3                             3                             9                             0                             0                             12                            101                           501                           318                           0                             920                           4                             11                            2                             0                             17                            2049                          
HOG MOUNTAIN D                3179                          5                             3                             2                             0                             10                            2                             1                             3                             0                             6                             90                            249                           89                            0                             428                           5                             5                             2                             0                             12                            7                             21                            2                             0                             30                            1                             1                             1                             0                             3                             11                            23                            4                             0                             38                            26                            78                            47                            1                             152                           7                             22                            11                            0                             40                            5                             12                            1                             0                             18                            9                             37                            21                            0                             67                            19                            37                            4                             0                             60                            141                           365                           134                           1                             641                           5                             18                            2                             0                             25                            17                            7                             2                             0                             26                            3                             3                             3                             0                             9                             1                             6                             7                             0                             14                            4                             9                             3                             0                             16                            75                            274                           277                           0                             626                           1                             6                             3                             0                             10                            2231                          
BERKSHIRE D                   2945                          1                             3                             0                             0                             4                             5                             3                             5                             0                             13                            51                            174                           88                            0                             313                           4                             3                             0                             0                             7                             3                             12                            10                            0                             25                            1                             2                             4                             0                             7                             6                             10                            5                             0                             21                            20                            74                            61                            1                             156                           7                             19                            10                            0                             36                            3                             12                            8                             0                             23                            9                             38                            18                            0                             65                            9                             49                            31                            0                             89                            75                            270                           165                           1                             511                           5                             13                            5                             0                             23                            8                             15                            3                             0                             26                            3                             2                             2                             0                             7                             1                             3                             6                             0                             10                            3                             6                             0                             0                             9                             51                            406                           355                           1                             813                           4                             4                             5                             0                             13                            2171                          
BERKSHIRE E                   1997                          2                             2                             5                             0                             9                             2                             3                             2                             0                             7                             48                            148                           60                            0                             256                           5                             3                             2                             0                             10                            8                             8                             2                             0                             18                            3                             1                             1                             0                             5                             4                             5                             3                             0                             12                            10                            52                            29                            0                             91                            4                             14                            12                            0                             30                            5                             6                             9                             0                             20                            6                             22                            12                            0                             40                            7                             37                            6                             0                             50                            86                            278                           106                           0                             470                           2                             7                             0                             0                             9                             5                             4                             2                             0                             11                            1                             0                             2                             0                             3                             0                             7                             6                             0                             13                            3                             3                             0                             0                             6                             43                            214                           214                           0                             471                           1                             7                             3                             0                             11                            1542                          
BERKSHIRE F                   2254                          2                             7                             0                             0                             9                             3                             2                             2                             0                             7                             58                            86                            49                            0                             193                           1                             1                             2                             0                             4                             15                            13                            4                             0                             32                            0                             2                             2                             0                             4                             5                             9                             6                             0                             20                            39                            73                            56                            0                             168                           9                             18                            12                            0                             39                            5                             10                            8                             0                             23                            11                            23                            18                            1                             53                            12                            29                            17                            0                             58                            73                            85                            76                            0                             234                           3                             10                            2                             0                             15                            5                             4                             2                             0                             11                            4                             2                             0                             0                             6                             5                             3                             2                             0                             10                            7                             5                             0                             0                             12                            107                           208                           170                           0                             485                           3                             11                            10                            0                             24                            1407                          
