




Precinct                      Registered Voters             Ballots Cast                  Voter Turnout                 
Nickajack 01                  4889                          2                             1                             8                             0                             11                            2                             3                             7                             0                             12                            45                            146                           81                            0                             272                           3                             6                             3                             0                             12                            2                             8                             5                             1                             16                            2                             3                             2                             0                             7                             5                             11                            7                             0                             23                            60                            176                           103                           0                             339                           24                            92                            31                            1                             148                           0                             3                             4                             0                             7                             24                            51                            21                            0                             96                            21                            65                            44                            0                             130                           97                            240                           137                           1                             475                           12                            34                            5                             0                             51                            8                             6                             9                             0                             23                            2                             5                             2                             0                             9                             1                             3                             15                            0                             19                            2                             5                             6                             0                             13                            167                           918                           725                           1                             1811                          4                             13                            9                             1                             27                            3501                          
Norton Park 01                4922                          3                             5                             2                             0                             10                            4                             5                             5                             1                             15                            72                            203                           160                           0                             435                           3                             8                             10                            1                             22                            9                             15                            7                             0                             31                            7                             3                             2                             0                             12                            11                            11                            4                             0                             26                            76                            137                           87                            0                             300                           29                            40                            28                            1                             98                            5                             5                             4                             0                             14                            26                            35                            19                            0                             80                            24                            42                            42                            0                             108                           110                           241                           279                           1                             631                           15                            21                            9                             0                             45                            10                            10                            14                            0                             34                            2                             3                             2                             0                             7                             2                             5                             9                             0                             16                            5                             8                             2                             0                             15                            187                           462                           580                           4                             1233                          10                            7                             11                            0                             28                            3160                          
Nicholson 01                  2455                          2                             1                             2                             0                             5                             1                             0                             2                             0                             3                             85                            154                           104                           0                             343                           3                             3                             3                             0                             9                             6                             9                             3                             0                             18                            1                             3                             1                             0                             5                             7                             5                             4                             0                             16                            18                            41                            34                            0                             93                            3                             16                            6                             0                             25                            6                             0                             4                             0                             10                            5                             20                            7                             0                             32                            20                            31                            15                            0                             66                            173                           210                           173                           0                             556                           0                             17                            5                             0                             22                            14                            12                            7                             0                             33                            0                             3                             0                             0                             3                             0                             4                             7                             0                             11                            6                             9                             2                             0                             17                            78                            179                           299                           0                             556                           1                             2                             5                             0                             8                             1831                          
Oakdale 01                    3944                          2                             3                             3                             0                             8                             4                             4                             8                             0                             16                            86                            177                           170                           0                             433                           1                             3                             4                             0                             8                             3                             12                            4                             0                             19                            3                             3                             3                             0                             9                             6                             8                             9                             0                             23                            22                            96                            80                            0                             198                           6                             36                            18                            0                             60                            4                             8                             0                             0                             12                            7                             27                            13                            0                             47                            15                            51                            37                            0                             103                           155                           285                           255                           0                             695                           8                             10                            4                             0                             22                            5                             5                             11                            0                             21                            3                             2                             3                             0                             8                             1                             8                             8                             0                             17                            4                             5                             6                             0                             15                            97                            529                           675                           1                             1302                          3                             10                            14                            0                             27                            3043                          
Oregon 01                     1614                          3                             1                             2                             0                             6                             0                             2                             1                             0                             3                             33                            135                           77                            0                             245                           3                             3                             4                             0                             10                            3                             6                             2                             0                             11                            1                             2                             0                             0                             3                             8                             4                             0                             0                             12                            7                             24                            30                            0                             61                            4                             6                             3                             0                             13                            2                             5                             2                             0                             9                             5                             6                             3                             0                             14                            7                             21                            8                             0                             36                            117                           235                           127                           1                             480                           1                             3                             1                             0                             5                             7                             5                             3                             1                             16                            0                             1                             2                             0                             3                             2                             2                             3                             0                             7                             2                             4                             1                             0                             7                             57                            166                           171                           0                             394                           0                             5                             2                             0                             7                             1342                          
Oregon 02                     5671                          6                             4                             9                             0                             19                            2                             1                             7                             0                             10                            71                            148                           142                           0                             361                           4                             4                             13                            0                             21                            10                            15                            7                             0                             32                            2                             6                             4                             0                             12                            7                             8                             13                            0                             28                            93                            204                           103                           1                             401                           24                            69                            34                            0                             127                           7                             3                             7                             0                             17                            18                            55                            30                            0                             103                           30                            53                            41                            0                             124                           110                           194                           195                           0                             499                           17                            28                            7                             0                             52                            7                             14                            8                             0                             29                            2                             5                             3                             0                             10                            4                             5                             5                             0                             14                            3                             5                             4                             0                             12                            219                           839                           853                           2                             1913                          9                             14                            10                            0                             33                            3817                          
Oregon 03                     5713                          8                             3                             5                             0                             16                            3                             2                             9                             0                             14                            65                            110                           94                            1                             270                           7                             4                             9                             0                             20                            6                             9                             6                             1                             22                            2                             2                             4                             0                             8                             8                             10                            5                             1                             24                            99                            167                           96                            1                             363                           29                            61                            33                            0                             123                           6                             6                             3                             0                             15                            34                            50                            31                            0                             115                           31                            52                            27                            1                             111                           99                            198                           186                           1                             484                           18                            25                            12                            0                             55                            9                             11                            13                            0                             33                            3                             4                             2                             0                             9                             3                             3                             9                             0                             15                            6                             7                             5                             0                             18                            221                           612                           551                           4                             1388                          9                             15                            8                             1                             33                            3136                          
Oregon 04                     4673                          3                             2                             3                             0                             8                             2                             3                             7                             1                             13                            53                            149                           112                           0                             314                           2                             3                             1                             0                             6                             9                             8                             1                             0                             18                            5                             2                             2                             0                             9                             7                             8                             9                             0                             24                            64                            148                           77                            3                             292                           34                            65                            67                            0                             166                           5                             4                             2                             0                             11                            15                            43                            27                            0                             85                            15                            42                            27                            0                             84                            92                            222                           171                           0                             485                           15                            21                            9                             0                             45                            4                             4                             10                            0                             18                            5                             5                             5                             1                             16                            3                             6                             4                             0                             13                            4                             7                             2                             0                             13                            183                           639                           750                           0                             1572                          2                             16                            5                             0                             23                            3215                          
Oregon 05                     3846                          5                             2                             2                             0                             9                             5                             3                             9                             0                             17                            96                            211                           118                           0                             425                           2                             5                             5                             0                             12                            6                             9                             7                             0                             22                            2                             4                             2                             0                             8                             10                            14                            6                             0                             30                            22                            133                           64                            0                             219                           6                             39                            16                            0                             61                            5                             8                             3                             0                             16                            16                            41                            13                            0                             70                            8                             36                            30                            0                             74                            161                           347                           192                           0                             700                           2                             23                            4                             0                             29                            9                             9                             9                             0                             27                            2                             7                             0                             0                             9                             1                             5                             4                             0                             10                            1                             8                             10                            0                             19                            128                           616                           555                           1                             1300                          0                             10                            3                             0                             13                            3070                          
Pebblebrook 01                5218                          1                             6                             2                             0                             9                             1                             5                             7                             0                             13                            41                            70                            54                            1                             166                           1                             4                             5                             0                             10                            4                             10                            3                             0                             17                            1                             5                             2                             0                             8                             4                             12                            12                            0                             28                            84                            206                           98                            2                             390                           34                            71                            31                            1                             137                           5                             5                             1                             0                             11                            27                            70                            31                            1                             129                           23                            51                            21                            0                             95                            49                            161                           136                           0                             346                           15                            35                            12                            0                             62                            6                             6                             4                             0                             16                            6                             6                             10                            0                             22                            5                             7                             8                             0                             20                            4                             7                             2                             1                             14                            238                           847                           690                           0                             1775                          11                            17                            5                             0                             33                            3301                          
Powers Ferry 01               3504                          8                             0                             3                             0                             11                            6                             4                             5                             0                             15                            90                            188                           124                           0                             402                           5                             1                             2                             0                             8                             6                             11                            7                             0                             24                            0                             2                             1                             0                             3                             13                            12                            6                             0                             31                            24                            66                            69                            3                             162                           8                             13                            10                            0                             31                            5                             6                             4                             0                             15                            3                             22                            17                            0                             42                            19                            42                            34                            0                             95                            209                           271                           244                           0                             724                           4                             13                            13                            0                             30                            16                            16                            8                             0                             40                            3                             2                             3                             0                             8                             0                             2                             5                             0                             7                             14                            5                             8                             0                             27                            115                           303                           411                           0                             829                           4                             9                             2                             1                             16                            2520                          
Pine Mountain 01              3491                          1                             3                             0                             0                             4                             6                             0                             2                             0                             8                             105                           334                           186                           1                             626                           6                             2                             4                             0                             12                            10                            11                            4                             0                             25                            1                             7                             0                             0                             8                             10                            13                            1                             0                             24                            16                            45                            53                            1                             115                           6                             13                            9                             0                             28                            6                             6                             3                             0                             15                            3                             6                             6                             0                             15                            13                            41                            19                            0                             73                            210                           576                           308                           0                             1094                          5                             12                            3                             0                             20                            10                            5                             4                             0                             19                            2                             4                             4                             0                             10                            1                             0                             5                             0                             6                             5                             7                             6                             0                             18                            69                            304                           325                           4                             702                           0                             4                             1                             0                             5                             2827                          
Pine Mountain 02              3127                          2                             3                             2                             0                             7                             4                             4                             0                             0                             8                             122                           284                           226                           0                             632                           0                             0                             4                             0                             4                             10                            10                            1                             0                             21                            2                             1                             0                             1                             4                             5                             10                            2                             0                             17                            9                             34                            36                            0                             79                            5                             11                            9                             0                             25                            3                             4                             0                             0                             7                             2                             8                             6                             0                             16                            9                             24                            24                            0                             57                            249                           529                           330                           0                             1108                          4                             8                             2                             1                             15                            7                             10                            6                             0                             23                            0                             2                             0                             0                             2                             0                             1                             11                            0                             12                            2                             6                             3                             0                             11                            62                            225                           277                           0                             564                           2                             1                             2                             0                             5                             2617                          
Post Oak 01                   3660                          1                             3                             3                             0                             7                             2                             1                             11                            0                             14                            101                           284                           223                           0                             608                           2                             4                             7                             0                             13                            7                             8                             10                            0                             25                            2                             4                             3                             0                             9                             9                             11                            7                             1                             28                            15                            52                            50                            0                             117                           2                             9                             4                             0                             15                            1                             9                             2                             0                             12                            3                             17                            12                            0                             32                            21                            48                            45                            0                             114                           252                           474                           312                           3                             1041                          4                             6                             4                             0                             14                            13                            11                            19                            0                             43                            2                             3                             1                             0                             6                             1                             1                             1                             0                             3                             4                             9                             8                             0                             21                            73                            298                           464                           0                             835                           0                             5                             8                             0                             13                            2970                          
Pope 01                       3153                          0                             0                             2                             0                             2                             3                             5                             2                             0                             10                            78                            237                           184                           0                             499                           4                             3                             2                             0                             9                             10                            10                            5                             0                             25                            0                             3                             2                             0                             5                             2                             10                            7                             0                             19                            14                            52                            57                            0                             123                           3                             12                            7                             0                             22                            4                             8                             2                             0                             14                            4                             22                            14                            0                             40                            16                            44                            50                            0                             110                           156                           366                           277                           0                             799                           6                             11                            2                             0                             19                            7                             6                             18                            0                             31                            1                             1                             1                             0                             3                             1                             4                             5                             0                             10                            1                             4                             2                             0                             7                             76                            242                           465                           0                             783                           1                             9                             3                             0                             13                            2543                          
