




County                        Registered Voters             Ballots Cast                  Voter Turnout                 
Coralwood                     3153                          162                           999                           960                           5                             2126                          42                            183                           139                           0                             364                           2490                          
Candler Park                  4018                          109                           1544                          1170                          1                             2824                          29                            162                           169                           1                             361                           3185                          
Clarkston Community Center    2495                          226                           591                           321                           9                             1147                          22                            67                            67                            0                             156                           1303                          
Chamblee 2                    3137                          174                           1111                          603                           0                             1888                          35                            249                           101                           0                             385                           2273                          
Doraville North               3065                          312                           747                           418                           5                             1482                          63                            107                           69                            2                             241                           1723                          
Doraville South               1255                          135                           323                           200                           2                             660                           22                            44                            48                            0                             114                           774                           
Dresden Elem                  5141                          415                           1360                          882                           7                             2664                          66                            241                           160                           0                             467                           3131                          
Decatur                       1937                          84                            799                           428                           1                             1312                          15                            94                            69                            0                             178                           1490                          
Dunaire Elem                  2268                          185                           584                           382                           6                             1157                          23                            79                            54                            1                             157                           1314                          
Dunwoody                      3003                          174                           969                           547                           5                             1695                          36                            172                           107                           2                             317                           2012                          
Dunwoody 2                    2044                          118                           741                           402                           4                             1265                          38                            169                           77                            1                             285                           1550                          
Druid Hills High              2725                          136                           612                           603                           1                             1352                          36                            75                            91                            0                             202                           1554                          
Dunwoody Library              2570                          97                            1014                          513                           2                             1626                          31                            237                           105                           0                             373                           1999                          
East Lake                     4139                          223                           1427                          845                           3                             2498                          36                            168                           95                            4                             303                           2801                          
Embry Hills                   1721                          109                           532                           399                           0                             1040                          24                            116                           87                            0                             227                           1267                          
Evansdale Elem                3441                          252                           1047                          726                           3                             2028                          52                            167                           96                            0                             315                           2343                          
Emory South                   3241                          199                           996                           828                           6                             2029                          31                            109                           115                           0                             255                           2284                          
Emory Road                    2290                          120                           590                           386                           7                             1103                          13                            36                            53                            0                             102                           1205                          
Fairington Elem               5455                          410                           1460                          563                           17                            2450                          49                            136                           85                            1                             271                           2721                          
Fernbank Elem                 2125                          132                           632                           703                           3                             1470                          29                            93                            111                           1                             234                           1704                          
Flat Shoals Elem              2409                          188                           590                           345                           8                             1131                          18                            56                            52                            0                             126                           1257                          
Flat Shoals Parkway           3449                          189                           1225                          644                           4                             2062                          18                            103                           98                            2                             221                           2283                          
Flat Rock Elem                3142                          236                           1198                          449                           7                             1890                          25                            144                           79                            0                             248                           2138                          
Flat Shoals                   2649                          177                           583                           391                           5                             1156                          20                            76                            55                            3                             154                           1310                          
Flakes Mill Fire Station      2103                          117                           689                           349                           7                             1162                          9                             80                            77                            1                             167                           1329                          
Flat Shoals Library           2788                          220                           662                           367                           3                             1252                          27                            77                            44                            0                             148                           1400                          
Freedom Middle                3227                          288                           817                           475                           9                             1589                          31                            82                            92                            0                             205                           1794                          
Glennwood                     2715                          86                            802                           742                           5                             1635                          21                            108                           102                           0                             231                           1866                          
Glenhaven                     1880                          218                           468                           280                           3                             969                           30                            41                            44                            1                             116                           1085                          
Gresham Road                  3601                          201                           1076                          661                           14                            1952                          26                            105                           100                           3                             234                           2186                          
Georgetown Sq                 4155                          272                           1343                          599                           6                             2220                          63                            238                           114                           3                             418                           2638                          
Glenwood Road                 2293                          196                           522                           343                           4                             1065                          18                            39                            57                            0                             114                           1179                          
Hambrick Elem                 3776                          301                           1030                          550                           10                            1891                          38                            132                           120                           1                             291                           2182                          
Hawthorne Elem                3884                          312                           1228                          668                           4                             2212                          43                            160                           92                            2                             297                           2509                          
Henderson Mill                3104                          203                           965                           723                           2                             1893                          39                            167                           101                           0                             307                           2200                          
Huntley Hills Elem            3508                          320                           1135                          480                           4                             1939                          62                            174                           91                            1                             328                           2267                          
Hugh Howell                   1773                          172                           549                           377                           1                             1099                          40                            119                           78                            0                             237                           1336                          
Harris-Narvie J Harris Elem   4031                          167                           1487                          668                           9                             2331                          16                            132                           104                           1                             253                           2584                          
Harris-Margaret Harris ED     1462                          127                           450                           289                           5                             871                           21                            66                            49                            0                             136                           1007                          
Idlewood Elem                 2472                          242                           730                           365                           8                             1345                          19                            90                            75                            0                             184                           1529                          
Indian Creek                  2318                          172                           493                           343                           12                            1020                          12                            52                            45                            1                             110                           1130                          
Johnson Estates               1600                          62                            507                           553                           0                             1122                          9                             65                            56                            0                             130                           1252                          
Jolly Elem                    3679                          267                           867                           567                           13                            1714                          36                            110                           105                           2                             253                           1967                          
Kelley Lake Elem              3015                          261                           687                           489                           3                             1440                          28                            77                            72                            0                             177                           1617                          
Kingsley Elem                 2490                          211                           791                           572                           6                             1580                          44                            162                           128                           3                             337                           1917                          
Kelley Chapel Road            1337                          116                           430                           250                           0                             796                           15                            31                            62                            1                             109                           905                           
Knollwood                     2546                          239                           619                           385                           10                            1253                          40                            69                            81                            0                             190                           1443                          
Kittredge Elem                2161                          136                           700                           474                           4                             1314                          41                            212                           104                           0                             357                           1671                          
Lakeside High                 3216                          244                           1047                          698                           1                             1990                          52                            187                           173                           1                             413                           2403                          
Lavista Road                  2223                          144                           562                           599                           4                             1309                          37                            87                            136                           0                             260                           1569                          
Lavista                       3223                          221                           840                           618                           8                             1687                          46                            121                           86                            0                             253                           1940                          
Lithonia                      1730                          217                           361                           185                           3                             766                           33                            46                            35                            0                             114                           880                           
Lin-Mary Lin Elem             3009                          136                           994                           875                           6                             2011                          25                            109                           87                            1                             222                           2233                          
Lithonia High                 3610                          330                           1001                          460                           11                            1802                          32                            94                            70                            2                             198                           2000                          
Livsey Elem                   1350                          97                            472                           303                           0                             872                           22                            94                            56                            0                             172                           1044                          
Miller-Eldridge L Miller Elem 3455                          285                           882                           607                           7                             1781                          31                            92                            98                            1                             222                           2003                          
McNair High                   4160                          263                           1312                          830                           4                             2409                          32                            128                           126                           1                             287                           2696                          
Marbut Elem                   4234                          298                           1292                          548                           13                            2151                          35                            132                           68                            6                             241                           2392                          
McNair                        2794                          171                           757                           522                           4                             1454                          19                            82                            65                            1                             167                           1621                          
McLendon                      3607                          190                           995                           796                           5                             1986                          29                            139                           138                           2                             308                           2294                          
McWilliams                    2517                          138                           870                           471                           3                             1482                          20                            103                           83                            0                             206                           1688                          
Medlock                       2208                          136                           637                           634                           2                             1409                          47                            111                           97                            0                             255                           1664                          
Midvale Elem                  2747                          191                           909                           675                           4                             1779                          50                            180                           143                           0                             373                           2152                          
Miller Grove                  4747                          320                           1270                          597                           11                            2198                          25                            124                           83                            3                             235                           2433                          
Montclair Elem                2194                          206                           610                           223                           4                             1043                          37                            70                            26                            1                             134                           1177                          
Montreal                      2586                          212                           814                           469                           3                             1498                          31                            78                            82                            0                             191                           1689                          
Meadowview                    3511                          202                           901                           629                           10                            1742                          30                            93                            121                           2                             246                           1988                          
Memorial South                3138                          224                           663                           318                           14                            1219                          38                            76                            56                            2                             172                           1391                          
Midway                        3139                          172                           691                           524                           6                             1393                          25                            83                            100                           1                             209                           1602                          
McNair Academy                1900                          124                           567                           392                           2                             1085                          20                            53                            55                            3                             131                           1216                          
Mount Vernon East             2651                          219                           951                           492                           3                             1665                          34                            223                           107                           0                             364                           2029                          
Mathis-Bob Mathis Elem        2789                          206                           841                           597                           5                             1649                          16                            113                           87                            0                             216                           1865                          
Mount Vernon West             2303                          118                           863                           417                           5                             1403                          38                            205                           79                            3                             325                           1728                          
Metropolitan                  3405                          161                           1261                          675                           8                             2105                          27                            94                            88                            0                             209                           2314                          
Montgomery Elem               2446                          166                           770                           534                           3                             1473                          58                            202                           118                           2                             380                           1853                          
Miller Grove Road             2151                          178                           674                           419                           5                             1276                          12                            81                            71                            0                             164                           1440                          
Midvale Road                  1832                          153                           605                           315                           2                             1075                          14                            86                            36                            0                             136                           1211                          
Miller Grove High             3470                          266                           900                           377                           8                             1551                          24                            92                            64                            0                             180                           1731                          
North Decatur                 2166                          126                           585                           455                           11                            1177                          9                             67                            70                            2                             148                           1325                          
North Hairston                2329                          215                           594                           384                           5                             1198                          28                            76                            39                            4                             147                           1345                          
Northlake                     1509                          134                           430                           397                           1                             962                           38                            72                            72                            0                             182                           1144                          
North Peachtree               1916                          166                           517                           281                           3                             967                           25                            84                            42                            2                             153                           1120                          
Oak Grove Elem                2253                          172                           655                           577                           0                             1404                          55                            147                           116                           0                             318                           1722                          
Oakcliff Elem                 2125                          282                           454                           289                           8                             1033                          44                            67                            49                            0                             160                           1193                          
Oakhurst                      2398                          114                           930                           641                           1                             1686                          21                            124                           92                            0                             237                           1923                          
Oak View Elem                 5011                          326                           1572                          639                           17                            2554                          32                            164                           89                            2                             287                           2841                          
Peachcrest                    2458                          170                           575                           384                           4                             1133                          18                            68                            72                            1                             159                           1292                          
Peachtree Middle              3502                          253                           1132                          559                           5                             1949                          35                            174                           105                           3                             317                           2266                          
Princeton Elem                2376                          161                           787                           392                           4                             1344                          19                            87                            60                            1                             167                           1511                          
Pine Lake                     632                           224                           117                           62                            0                             403                           19                            12                            8                             0                             39                            442                           
Pleasantdale Road             4538                          407                           1112                          548                           6                             2073                          56                            139                           83                            1                             279                           2352                          
Ponce de Leon                 3766                          110                           826                           766                           12                            1714                          38                            95                            101                           1                             235                           1949                          
Panola                        1586                          129                           440                           301                           2                             872                           9                             46                            34                            0                             89                            961                           
Panola Way Elem               2252                          189                           539                           270                           17                            1015                          21                            53                            36                            4                             114                           1129                          
Piney Grove                   2018                          157                           498                           289                           7                             951                           14                            38                            44                            0                             96                            1047                          
Panola Road                   2884                          168                           929                           492                           7                             1596                          27                            92                            65                            2                             186                           1782                          
Rainbow Elem                  3768                          237                           1095                          710                           7                             2049                          29                            128                           119                           2                             278                           2327                          
Redan Elem                    3020                          200                           1052                          529                           8                             1789                          18                            108                           62                            0                             188                           1977                          
Rehoboth                      1813                          128                           469                           532                           2                             1131                          30                            87                            94                            0                             211                           1342                          
Rockbridge Elem               3595                          305                           900                           451                           17                            1673                          28                            79                            63                            1                             171                           1844                          
Rock Chapel Elem              2910                          197                           1012                          445                           7                             1661                          22                            118                           57                            0                             197                           1858                          
Rowland Elem                  3765                          266                           866                           506                           9                             1647                          38                            86                            76                            0                             200                           1847                          
Redan-Trotti Library          3990                          251                           1155                          633                           18                            2057                          23                            127                           92                            1                             243                           2300                          
Rockbridge Road               3965                          275                           1344                          852                           8                             2479                          38                            155                           107                           0                             300                           2779                          
Rowland Road                  2080                          172                           534                           369                           7                             1082                          23                            68                            52                            0                             143                           1225                          
Redan Road                    2932                          215                           837                           447                           8                             1507                          24                            76                            61                            0                             161                           1668                          
Rock Chapel Road              4178                          246                           1487                          681                           15                            2429                          21                            167                           87                            3                             278                           2707                          
Redan Middle                  2496                          142                           805                           464                           5                             1416                          17                            86                            56                            0                             159                           1575                          
Sagamore Hills Elem           2925                          212                           901                           849                           0                             1962                          68                            144                           159                           0                             371                           2333                          
Scott                         2805                          116                           767                           802                           0                             1685                          32                            108                           128                           0                             268                           1953                          
Shaw-Robert Shaw Elem         2892                          244                           789                           501                           3                             1537                          19                            79                            85                            0                             183                           1720                          
Stone Mountain Elem           2338                          154                           503                           588                           3                             1248                          18                            73                            95                            0                             186                           1434                          
Silver Lake                   4979                          246                           1540                          903                           4                             2693                          61                            371                           174                           2                             608                           3301                          
Skyland                       2100                          181                           635                           362                           5                             1183                          52                            160                           73                            1                             286                           1469                          
Snapfinger Elem               1894                          152                           554                           403                           1                             1110                          22                            65                            79                            0                             166                           1276                          
