




County                        Registered Voters             Ballots Cast                  Voter Turnout                 
06G                           588                           0                             1                             0                             0                             1                             1                             0                             0                             0                             1                             3                             10                            9                             0                             22                            0                             1                             0                             0                             1                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             1                             0                             1                             1                             10                            11                            0                             22                            0                             2                             1                             0                             3                             0                             3                             0                             0                             3                             1                             3                             4                             1                             9                             2                             12                            4                             0                             18                            9                             27                            11                            0                             47                            0                             5                             0                             0                             5                             1                             2                             1                             0                             4                             0                             0                             1                             0                             1                             0                             0                             1                             0                             1                             0                             2                             0                             0                             2                             7                             178                           95                            0                             280                           0                             0                             0                             0                             0                             421                           
06I                           4072                          6                             4                             2                             0                             12                            2                             4                             4                             0                             10                            24                            58                            22                            5                             109                           2                             8                             4                             1                             15                            3                             6                             1                             1                             11                            2                             2                             1                             0                             5                             3                             12                            3                             0                             18                            47                            191                           57                            2                             297                           21                            66                            15                            2                             104                           0                             6                             0                             0                             6                             18                            75                            15                            0                             108                           17                            99                            26                            1                             143                           54                            102                           35                            0                             191                           9                             36                            6                             0                             51                            3                             12                            6                             2                             23                            4                             5                             2                             0                             11                            2                             11                            9                             0                             22                            3                             5                             1                             1                             10                            119                           813                           368                           8                             1308                          4                             11                            5                             0                             20                            2474                          
06J                           2770                          1                             2                             2                             0                             5                             2                             3                             5                             0                             10                            17                            84                            32                            0                             133                           2                             3                             3                             0                             8                             0                             4                             3                             0                             7                             1                             0                             1                             0                             2                             1                             5                             1                             0                             7                             5                             54                            21                            0                             80                            2                             15                            7                             0                             24                            0                             1                             0                             0                             1                             2                             26                            9                             0                             37                            6                             69                            26                            0                             101                           37                            141                           69                            1                             248                           1                             10                            2                             0                             13                            2                             15                            6                             0                             23                            0                             2                             0                             0                             2                             1                             2                             8                             0                             11                            0                             2                             1                             0                             3                             45                            792                           658                           0                             1495                          0                             7                             5                             0                             12                            2222                          
06L1                          991                           0                             0                             0                             0                             0                             0                             0                             2                             0                             2                             8                             46                            16                            0                             70                            0                             1                             2                             0                             3                             0                             0                             1                             0                             1                             0                             1                             0                             0                             1                             0                             1                             2                             0                             3                             1                             11                            7                             0                             19                            2                             7                             2                             1                             12                            1                             1                             0                             0                             2                             1                             5                             1                             0                             7                             0                             24                            6                             1                             31                            19                            69                            36                            0                             124                           0                             4                             1                             0                             5                             1                             3                             0                             0                             4                             0                             2                             0                             0                             2                             0                             1                             0                             0                             1                             1                             0                             1                             0                             2                             21                            280                           190                           1                             492                           0                             4                             3                             0                             7                             788                           
06L2                          726                           0                             1                             0                             0                             1                             0                             5                             2                             0                             7                             7                             40                            16                            0                             63                            0                             0                             1                             0                             1                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             2                             0                             0                             2                             3                             12                            4                             1                             20                            0                             1                             3                             0                             4                             0                             2                             1                             0                             3                             0                             6                             0                             0                             6                             0                             15                            8                             0                             23                            24                            58                            26                            0                             108                           0                             2                             0                             0                             2                             1                             3                             6                             0                             10                            0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             2                             0                             0                             2                             13                            194                           113                           0                             320                           0                             1                             1                             0                             2                             574                           
06N                           1770                          0                             1                             0                             0                             1                             0                             2                             2                             0                             4                             19                            77                            31                            1                             128                           1                             2                             2                             0                             5                             2                             1                             0                             0                             3                             0                             2                             4                             0                             6                             1                             5                             4                             0                             10                            7                             41                            17                            4                             69                            6                             24                            2                             0                             32                            0                             1                             0                             0                             1                             1                             14                            3                             0                             18                            8                             37                            14                            0                             59                            36                            169                           69                            2                             276                           1                             3                             1                             0                             5                             1                             4                             5                             0                             10                            0                             2                             2                             0                             4                             0                             1                             6                             0                             7                             1                             1                             0                             0                             2                             35                            288                           212                           4                             539                           0                             2                             0                             0                             2                             1181                          
06Q                           571                           1                             0                             0                             0                             1                             0                             1                             0                             0                             1                             2                             3                             2                             1                             8                             0                             1                             0                             0                             1                             0                             1                             0                             0                             1                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             6                             41                            10                            1                             58                            4                             10                            2                             0                             16                            0                             1                             0                             0                             1                             3                             19                            2                             0                             24                            3                             13                            4                             0                             20                            5                             2                             3                             2                             12                            2                             5                             0                             0                             7                             2                             1                             1                             0                             4                             0                             1                             0                             0                             1                             0                             2                             2                             0                             4                             0                             1                             0                             0                             1                             26                            112                           39                            2                             179                           1                             2                             1                             0                             4                             343                           
06R                           2015                          0                             1                             0                             0                             1                             1                             4                             6                             0                             11                            18                            53                            27                            1                             99                            1                             2                             2                             0                             5                             1                             1                             0                             0                             2                             0                             0                             2                             0                             2                             1                             5                             2                             1                             9                             4                             34                            20                            0                             58                            4                             6                             2                             1                             13                            1                             1                             0                             0                             2                             1                             11                            4                             0                             16                            3                             51                            13                            0                             67                            19                            114                           58                            0                             191                           1                             11                            0                             0                             12                            2                             3                             3                             0                             8                             0                             3                             0                             0                             3                             0                             4                             3                             0                             7                             0                             0                             1                             0                             1                             32                            493                           311                           1                             837                           1                             9                             3                             0                             13                            1357                          
07A                           7691                          2                             6                             2                             0                             10                            3                             11                            4                             0                             18                            116                           473                           185                           3                             777                           3                             7                             5                             0                             15                            10                            13                            6                             1                             30                            4                             7                             7                             0                             18                            14                            23                            14                            1                             52                            60                            211                           91                            2                             364                           24                            49                            26                            1                             100                           5                             12                            5                             0                             22                            17                            70                            24                            1                             112                           31                            143                           95                            1                             270                           191                           799                           264                           5                             1259                          6                             41                            6                             1                             54                            13                            21                            8                             0                             42                            2                             6                             3                             0                             11                            5                             16                            9                             0                             30                            3                             10                            5                             0                             18                            130                           1170                          813                           8                             2121                          4                             10                            4                             0                             18                            5341                          
07B                           2952                          0                             2                             2                             0                             4                             2                             4                             5                             0                             11                            50                            305                           114                           0                             469                           2                             1                             4                             0                             7                             2                             3                             1                             0                             6                             0                             4                             0                             0                             4                             1                             11                            5                             0                             17                            3                             33                            24                            0                             60                            1                             3                             1                             0                             5                             0                             4                             1                             0                             5                             0                             7                             3                             0                             10                            8                             44                            30                            0                             82                            121                           603                           211                           1                             936                           1                             4                             0                             0                             5                             3                             7                             1                             0                             11                            0                             1                             0                             0                             1                             1                             1                             3                             0                             5                             1                             2                             0                             0                             3                             43                            404                           357                           0                             804                           0                             3                             0                             0                             3                             2448                          
07C                           4512                          0                             2                             3                             0                             5                             2                             8                             11                            0                             21                            45                            248                           184                           4                             481                           0                             3                             4                             0                             7                             1                             7                             4                             0                             12                            2                             2                             4                             0                             8                             2                             12                            10                            0                             24                            23                            109                           47                            0                             179                           8                             28                            14                            1                             51                            0                             2                             3                             0                             5                             5                             26                            9                             0                             40                            14                            74                            43                            0                             131                           110                           402                           293                           5                             810                           6                             18                            2                             0                             26                            6                             8                             3                             0                             17                            0                             4                             4                             0                             8                             0                             10                            6                             0                             16                            5                             12                            2                             1                             20                            75                            585                           630                           4                             1294                          2                             11                            4                             0                             17                            3172                          
07D                           4879                          4                             2                             1                             0                             7                             2                             8                             1                             1                             12                            61                            289                           71                            3                             424                           2                             11                            3                             0                             16                            5                             20                            7                             0                             32                            2                             7                             2                             0                             11                            2                             16                            5                             0                             23                            35                            177                           42                            2                             256                           9                             39                            18                            1                             67                            7                             12                            1                             0                             20                            11                            41                            17                            1                             70                            22                            115                           31                            3                             171                           112                           499                           154                           9                             774                           6                             39                            3                             0                             48                            5                             12                            3                             0                             20                            1                             6                             3                             0                             10                            2                             11                            4                             0                             17                            2                             10                            0                             0                             12                            75                            706                           404                           7                             1192                          6                             12                            0                             0                             18                            3200                          
07E                           2247                          0                             1                             3                             0                             4                             3                             2                             2                             0                             7                             10                            115                           65                            3                             193                           1                             3                             5                             0                             9                             1                             3                             0                             0                             4                             0                             2                             0                             0                             2                             2                             5                             1                             0                             8                             6                             61                            33                            1                             101                           0                             15                            12                            0                             27                            0                             0                             1                             0                             1                             4                             18                            7                             0                             29                            5                             34                            38                            0                             77                            29                            196                           89                            1                             315                           3                             16                            3                             0                             22                            6                             9                             1                             1                             17                            0                             2                             3                             0                             5                             1                             4                             2                             0                             7                             1                             2                             5                             0                             8                             25                            443                           382                           1                             851                           1                             2                             6                             0                             9                             1696                          
07F                           3790                          2                             2                             3                             0                             7                             1                             9                             5                             0                             15                            43                            238                           88                            9                             378                           4                             4                             1                             0                             9                             1                             3                             3                             0                             7                             2                             3                             1                             0                             6                             5                             14                            3                             0                             22                            16                            114                           38                            3                             171                           3                             26                            7                             2                             38                            2                             5                             1                             0                             8                             6                             17                            9                             0                             32                            8                             96                            29                            0                             133                           109                           456                           171                           16                            752                           3                             14                            1                             0                             18                            8                             8                             7                             0                             23                            0                             6                             3                             0                             9                             2                             9                             10                            0                             21                            3                             6                             1                             0                             10                            59                            646                           421                           4                             1130                          0                             15                            4                             0                             19                            2808                          
07H                           2060                          0                             0                             0                             0                             0                             0                             2                             1                             0                             3                             26                            128                           49                            0                             203                           1                             3                             1                             0                             5                             1                             3                             3                             0                             7                             0                             1                             0                             0                             1                             2                             3                             4                             0                             9                             1                             31                            18                            0                             50                            1                             5                             6                             0                             12                            0                             4                             0                             0                             4                             1                             22                            5                             0                             28                            8                             36                            28                            0                             72                            63                            291                           89                            0                             443                           3                             9                             2                             0                             14                            2                             8                             3                             0                             13                            3                             0                             0                             0                             3                             1                             3                             1                             0                             5                             0                             3                             0                             0                             3                             34                            401                           321                           0                             756                           1                             3                             3                             0                             7                             1638                          
