index,County,Precinct,Registered Voters,"Lauren Bubba McDonald, Jr. (I) (Rep)_Election Day Votes","Lauren Bubba McDonald, Jr. (I) (Rep)_Advanced Voting Votes","Lauren Bubba McDonald, Jr. (I) (Rep)_Absentee by Mail Votes","Lauren Bubba McDonald, Jr. (I) (Rep)_Provisional Votes","Lauren Bubba McDonald, Jr. (I) (Rep)_Choice Total",Daniel Blackman (Dem)_Election Day Votes,Daniel Blackman (Dem)_Advanced Voting Votes,Daniel Blackman (Dem)_Absentee by Mail Votes,Daniel Blackman (Dem)_Provisional Votes,Daniel Blackman (Dem)_Choice Total,Nathan Wilson (Lib)_Election Day Votes,Nathan Wilson (Lib)_Advanced Voting Votes,Nathan Wilson (Lib)_Absentee by Mail Votes,Nathan Wilson (Lib)_Provisional Votes,Nathan Wilson (Lib)_Choice Total,Total,
107,Cobb,Post Oak 01,3660,376,808,554,4,1742,104,392,552,0,1048,30,41,44,0,115,2905,
108,Cobb,Pope 01,3153,247,637,489,0,1373,102,365,547,0,1014,33,44,42,0,119,2506,
109,Cobb,Palmer 01,2760,284,468,355,0,1107,132,319,349,0,800,25,35,28,0,88,1995,
110,Cobb,Powders Springs 1A,4755,136,530,316,1,983,176,1277,1015,5,2473,28,53,30,0,111,3567,
111,Cobb,Powders Springs 2A,3536,84,223,144,0,451,200,911,596,3,1710,21,39,19,0,79,2240,
112,Cobb,Powders Springs 3A,3991,109,373,205,0,687,241,1061,601,1,1904,28,30,23,0,81,2672,
113,Cobb,Pitner 01,2814,326,511,283,1,1121,162,351,344,1,858,37,38,24,0,99,2078,
114,Cobb,Rocky Mount 01,3390,452,621,391,1,1465,128,365,562,2,1057,37,34,34,0,105,2627,
115,Cobb,Riverside 01,2133,36,39,22,0,97,203,475,306,1,985,14,9,5,0,28,1110,
116,Cobb,Roswell 01,5374,488,1050,978,1,2517,132,556,1117,0,1805,50,36,61,0,147,4469,
117,Cobb,Roswell 02,3701,389,665,643,3,1700,110,371,754,0,1235,28,25,41,0,94,3029,
118,Cobb,Sandy Plains 01,2933,298,444,373,0,1115,129,402,543,2,1076,46,49,25,0,120,2311,
119,Cobb,Shallowford Falls 01,3387,388,645,558,0,1591,109,371,617,1,1098,36,32,34,0,102,2791,
120,Cobb,Simpson 01,1868,183,373,244,1,801,51,271,290,0,612,15,26,16,0,57,1470,
121,Cobb,Sewell Mill 01,3493,330,578,489,0,1397,139,453,684,0,1276,34,31,41,0,106,2779,
122,Cobb,Sewell Mill 03,4759,336,443,475,3,1257,313,717,669,4,1703,48,47,39,0,134,3094,
123,Cobb,Smyrna 1A,4152,159,212,193,1,565,373,800,633,3,1809,33,31,24,0,88,2462,
124,Cobb,Smyrna 2A,5539,160,425,305,1,891,367,1257,961,0,2585,58,55,47,1,161,3637,
125,Cobb,Smyrna 3A,4573,217,497,308,0,1022,220,943,810,3,1976,26,58,60,1,145,3143,
126,Cobb,Smyrna 3B,2496,151,371,256,1,779,117,455,461,2,1035,26,37,26,0,89,1903,
127,Cobb,Smyrna 4A,5842,331,837,830,1,1999,203,996,1257,5,2461,45,67,87,0,199,4659,
128,Cobb,Smyrna 5A,4319,224,369,275,1,869,291,774,742,8,1815,41,42,41,0,124,2808,
129,Cobb,Smyrna 6A,5936,341,803,710,0,1854,244,1098,1145,8,2495,47,67,59,0,173,4522,
130,Cobb,Smyrna 7A,6378,223,720,571,0,1514,199,1675,1568,1,3443,34,62,72,0,168,5125,
131,Cobb,Sope Creek 01,2163,276,375,386,1,1038,88,216,405,0,709,16,21,27,0,64,1811,
132,Cobb,Sope Creek 02,4729,358,774,688,3,1823,170,661,817,1,1649,35,45,45,0,125,3597,
133,Cobb,Sope Creek 03,2886,338,530,446,0,1314,97,341,443,0,881,16,18,27,0,61,2256,
134,Cobb,Sweetwater 01,3235,182,424,237,0,843,193,692,479,1,1365,19,31,19,0,69,2277,
135,Cobb,Sweetwater 02,3367,83,161,175,3,422,255,603,575,16,1449,16,19,22,2,59,1930,
136,Cobb,Terrell Mill 01,5816,235,435,368,1,1039,431,1014,839,10,2294,43,65,54,0,162,3495,
137,Cobb,Timber Ridge 01,2448,264,458,404,0,1126,65,265,493,1,824,17,25,29,0,71,2021,
138,Cobb,Vaughan 01,3146,344,937,345,0,1626,85,369,317,0,771,33,45,30,0,108,2505,
139,Cobb,Vinings 01,3260,187,281,284,1,753,182,711,554,2,1449,28,38,25,0,91,2293,
140,Cobb,Vinings 02,6400,299,643,597,2,1541,365,1246,1072,4,2687,42,49,58,0,149,4377,
141,Cobb,Vinings 03,4407,165,534,448,3,1150,222,945,810,2,1979,20,44,23,0,87,3216,
142,Cobb,Vinings 04,3405,419,463,523,2,1407,175,487,477,0,1139,21,18,23,0,62,2608,
143,Cobb,Wade Green 02,4718,400,728,454,1,1583,229,765,711,0,1705,57,63,45,0,165,3453,
144,Cobb,Willeo 01,2836,338,528,473,1,1340,104,295,504,0,903,32,26,37,0,95,2338,
