County,Precinct,Registered Voters,David A. Perdue (I) (Rep)_Election Day Votes,David A. Perdue (I) (Rep)_Advanced Voting Votes,David A. Perdue (I) (Rep)_Absentee by Mail Votes,David A. Perdue (I) (Rep)_Provisional Votes,David A. Perdue (I) (Rep)_Choice Total,Jon Ossoff (Dem)_Election Day Votes,Jon Ossoff (Dem)_Advanced Voting Votes,Jon Ossoff (Dem)_Absentee by Mail Votes,Jon Ossoff (Dem)_Provisional Votes,Jon Ossoff (Dem)_Choice Total,Shane Hazel (Lib)_Election Day Votes,Shane Hazel (Lib)_Advanced Voting Votes,Shane Hazel (Lib)_Absentee by Mail Votes,Shane Hazel (Lib)_Provisional Votes,Shane Hazel (Lib)_Choice Total,Total Votes
Richmond,207,2705.0,64.0,57.0,47.0,2.0,170.0,337.0,430.0,377.0,6.0,1150.0,6.0,13.0,13.0,0.0,32.0,1352.0
Richmond,208,2651.0,76.0,103.0,66.0,2.0,247.0,306.0,464.0,365.0,2.0,1137.0,13.0,15.0,5.0,0.0,33.0,1417.0
Richmond,210,1507.0,39.0,61.0,40.0,1.0,141.0,151.0,308.0,336.0,3.0,798.0,7.0,12.0,8.0,0.0,27.0,966.0
Richmond,301,2409.0,336.0,584.0,282.0,1.0,1203.0,127.0,294.0,278.0,0.0,699.0,7.0,9.0,10.0,0.0,26.0,1928.0
Richmond,302,1032.0,32.0,70.0,42.0,0.0,144.0,132.0,200.0,114.0,0.0,446.0,6.0,9.0,7.0,0.0,22.0,612.0
Richmond,303,1417.0,171.0,466.0,188.0,1.0,826.0,26.0,136.0,143.0,0.0,305.0,7.0,7.0,5.0,0.0,19.0,1150.0
Richmond,304,365.0,56.0,70.0,45.0,0.0,171.0,12.0,40.0,43.0,0.0,95.0,2.0,4.0,3.0,0.0,9.0,275.0
Richmond,305,428.0,47.0,161.0,87.0,1.0,296.0,7.0,36.0,36.0,0.0,79.0,2.0,5.0,3.0,0.0,10.0,385.0
Richmond,306,3934.0,211.0,387.0,271.0,0.0,869.0,279.0,816.0,524.0,3.0,1622.0,15.0,20.0,24.0,0.0,59.0,2550.0
Richmond,307,1642.0,179.0,375.0,181.0,0.0,735.0,66.0,173.0,200.0,0.0,439.0,9.0,10.0,9.0,0.0,28.0,1202.0
Richmond,308,622.0,45.0,68.0,39.0,0.0,152.0,47.0,107.0,72.0,0.0,226.0,3.0,4.0,2.0,1.0,10.0,388.0
Richmond,309,3340.0,85.0,139.0,88.0,1.0,313.0,296.0,1081.0,707.0,2.0,2086.0,16.0,20.0,14.0,0.0,50.0,2449.0
Richmond,310,5163.0,229.0,378.0,171.0,1.0,779.0,402.0,1356.0,931.0,4.0,2693.0,28.0,26.0,24.0,0.0,78.0,3550.0
Richmond,401,2093.0,32.0,52.0,25.0,0.0,109.0,225.0,686.0,465.0,0.0,1376.0,4.0,11.0,17.0,0.0,32.0,1517.0
Richmond,402,3311.0,74.0,75.0,51.0,0.0,200.0,406.0,517.0,507.0,4.0,1434.0,21.0,16.0,21.0,0.0,58.0,1692.0
Richmond,404,1748.0,40.0,58.0,47.0,0.0,145.0,219.0,447.0,322.0,3.0,991.0,14.0,9.0,8.0,1.0,32.0,1168.0
Richmond,405,4424.0,54.0,126.0,87.0,0.0,267.0,333.0,1436.0,1072.0,4.0,2845.0,8.0,24.0,22.0,0.0,54.0,3166.0
Richmond,406,3221.0,58.0,85.0,64.0,1.0,208.0,321.0,994.0,764.0,4.0,2083.0,9.0,15.0,12.0,0.0,36.0,2327.0
Richmond,501,3549.0,67.0,109.0,98.0,0.0,274.0,358.0,706.0,707.0,3.0,1774.0,11.0,20.0,22.0,1.0,54.0,2102.0
Richmond,502,4138.0,90.0,95.0,67.0,0.0,252.0,451.0,942.0,834.0,7.0,2234.0,18.0,19.0,18.0,0.0,55.0,2541.0
