County,Precinct,Registered Voters,Al Bartell (Ind)_Choice Total,Allen Buckley (Ind)_Choice Total,Doug Collins (Rep)_Choice Total,John Fortuin (Grn)_Choice Total,Derrick E. Grayson (Rep)_Choice Total,Michael Todd Greene (Ind)_Choice Total,Annette Davis Jackson (Rep)_Choice Total,Deborah Jackson (Dem)_Choice Total,Jamesia James (Dem)_Choice Total,A. Wayne Johnson (Rep)_Choice Total,Tamara Johnson-Shealey (Dem)_Choice Total,Matt Lieberman (Dem)_Choice Total,Kelly Loeffler (I) (Rep)_Choice Total,Joy Felicia Slade (Dem)_Choice Total,Brian Slowinski (Lib)_Choice Total,Valencia Stovall (Ind)_Choice Total,Ed Tarver (Dem)_Choice Total,Kandiss Taylor (Rep)_Choice Total,Raphael Warnock (Dem)_Choice Total,Richard Dien Winfield (Dem)_Choice Total,Total Votes
Fulton,07N,2139.0,4.0,1.0,89.0,8.0,14.0,5.0,15.0,173.0,52.0,6.0,49.0,69.0,97.0,19.0,15.0,3.0,10.0,6.0,655.0,9.0,1299.0
Fulton,08A,3084.0,4.0,6.0,390.0,6.0,9.0,3.0,13.0,111.0,32.0,10.0,35.0,89.0,716.0,36.0,22.0,1.0,23.0,14.0,842.0,11.0,2373.0
Fulton,08B,3498.0,14.0,8.0,435.0,7.0,14.0,6.0,33.0,114.0,19.0,9.0,28.0,115.0,964.0,20.0,22.0,6.0,15.0,8.0,899.0,9.0,2745.0
Fulton,08C,1500.0,1.0,9.0,208.0,2.0,6.0,3.0,7.0,25.0,4.0,2.0,10.0,43.0,541.0,5.0,7.0,1.0,5.0,0.0,317.0,3.0,1199.0
Fulton,08D,1073.0,0.0,1.0,174.0,1.0,4.0,1.0,2.0,20.0,3.0,2.0,6.0,28.0,389.0,1.0,4.0,2.0,5.0,1.0,241.0,1.0,886.0
Fulton,08E,2568.0,4.0,7.0,403.0,9.0,6.0,2.0,14.0,52.0,9.0,1.0,13.0,63.0,777.0,10.0,5.0,7.0,8.0,7.0,768.0,5.0,2170.0
Fulton,08F1,2187.0,5.0,3.0,288.0,5.0,8.0,1.0,10.0,35.0,2.0,3.0,8.0,65.0,827.0,5.0,7.0,2.0,8.0,3.0,573.0,2.0,1860.0
Fulton,08G,3086.0,11.0,10.0,286.0,8.0,10.0,3.0,13.0,139.0,37.0,12.0,53.0,84.0,453.0,16.0,15.0,7.0,4.0,6.0,817.0,12.0,1996.0
Fulton,08H,2556.0,4.0,4.0,342.0,6.0,8.0,2.0,16.0,54.0,9.0,3.0,12.0,77.0,758.0,5.0,5.0,0.0,3.0,8.0,763.0,7.0,2086.0
Fulton,08J,3344.0,5.0,17.0,347.0,11.0,11.0,3.0,17.0,137.0,50.0,6.0,49.0,100.0,739.0,25.0,15.0,4.0,21.0,12.0,1020.0,8.0,2597.0
