County,Precinct,Registered Voters,"Daniel J. """"Danny"""" Porter (I) (Rep)_Election Day Votes","Daniel J. """"Danny"""" Porter (I) (Rep)_Advanced Voting Votes","Daniel J. """"Danny"""" Porter (I) (Rep)_Absentee by Mail Votes","Daniel J. """"Danny"""" Porter (I) (Rep)_Provisional Votes","Daniel J. """"Danny"""" Porter (I) (Rep)_Choice Total",Patsy Austin-Gatson (Dem)_Election Day Votes,Patsy Austin-Gatson (Dem)_Advanced Voting Votes,Patsy Austin-Gatson (Dem)_Absentee by Mail Votes,Patsy Austin-Gatson (Dem)_Provisional Votes,Patsy Austin-Gatson (Dem)_Choice Total,Total Votes
Gwinnett,PINCKNEYVILLE F,2546.0,109.0,237.0,127.0,1.0,474.0,237.0,463.0,314.0,2.0,1016.0,1490.0
Gwinnett,DUNCANS D,7153.0,620.0,2139.0,797.0,3.0,3559.0,276.0,918.0,645.0,0.0,1839.0,5398.0
Gwinnett,PINCKNEYVILLE H,4536.0,351.0,767.0,513.0,0.0,1631.0,219.0,847.0,733.0,3.0,1802.0,3433.0
Gwinnett,BAYCREEK B,5969.0,270.0,665.0,310.0,3.0,1248.0,422.0,1707.0,773.0,7.0,2909.0,4157.0
Gwinnett,LAWRENCEVILLE C,3037.0,298.0,626.0,290.0,0.0,1214.0,133.0,474.0,325.0,1.0,933.0,2147.0
Gwinnett,MARTINS D,2402.0,96.0,129.0,102.0,3.0,330.0,266.0,447.0,286.0,1.0,1000.0,1330.0
Gwinnett,ROCKBRIDGE B,4177.0,141.0,346.0,199.0,0.0,686.0,296.0,1144.0,570.0,1.0,2011.0,2697.0
Gwinnett,GARNERS B,3178.0,122.0,406.0,251.0,4.0,783.0,181.0,840.0,449.0,2.0,1472.0,2255.0
Gwinnett,CATES F,1787.0,214.0,333.0,257.0,0.0,804.0,103.0,279.0,204.0,2.0,588.0,1392.0
Gwinnett,CATES G,2875.0,209.0,698.0,429.0,0.0,1336.0,115.0,504.0,370.0,0.0,989.0,2325.0
Gwinnett,DULUTH B,3551.0,263.0,558.0,398.0,3.0,1222.0,179.0,506.0,511.0,1.0,1197.0,2419.0
Gwinnett,GARNERS C,2030.0,133.0,304.0,163.0,1.0,601.0,122.0,438.0,243.0,1.0,804.0,1405.0
Gwinnett,PINCKNEYVILLE I,2635.0,110.0,204.0,135.0,0.0,449.0,246.0,557.0,303.0,2.0,1108.0,1557.0
Gwinnett,PINCKNEYVILLE J,2613.0,77.0,136.0,70.0,1.0,284.0,261.0,620.0,267.0,3.0,1151.0,1435.0
Gwinnett,BERKSHIRE G,2419.0,168.0,536.0,266.0,0.0,970.0,107.0,514.0,281.0,0.0,902.0,1872.0
