County,Precinct,Registered Voters,Angela Stanton-King (Rep)_Election Day Votes,Angela Stanton-King (Rep)_Advanced Voting Votes,Angela Stanton-King (Rep)_Absentee by Mail Votes,Angela Stanton-King (Rep)_Provisional Votes,Angela Stanton-King (Rep)_Choice Total,Nikema Williams (Dem)_Election Day Votes,Nikema Williams (Dem)_Advanced Voting Votes,Nikema Williams (Dem)_Absentee by Mail Votes,Nikema Williams (Dem)_Provisional Votes,Nikema Williams (Dem)_Choice Total,Total Votes
DeKalb,Clifton,1731.0,9.0,26.0,17.0,0.0,52.0,122.0,515.0,331.0,5.0,973.0,1025.0
DeKalb,Columbia Middle,2178.0,21.0,28.0,9.0,1.0,59.0,139.0,587.0,341.0,6.0,1073.0,1132.0
DeKalb,Coan Recreation Center,4230.0,38.0,178.0,93.0,0.0,309.0,186.0,1519.0,898.0,2.0,2605.0,2914.0
DeKalb,Candler,3537.0,45.0,77.0,28.0,1.0,151.0,223.0,983.0,595.0,10.0,1811.0,1962.0
DeKalb,Cedar Grove Middle,1896.0,15.0,21.0,10.0,0.0,46.0,124.0,489.0,263.0,2.0,878.0,924.0
DeKalb,Cedar Grove South,3962.0,18.0,50.0,35.0,0.0,103.0,266.0,1560.0,742.0,6.0,2574.0,2677.0
DeKalb,Clairemont East,3226.0,63.0,210.0,160.0,3.0,436.0,72.0,1062.0,1111.0,1.0,2246.0,2682.0
DeKalb,Candler Park,4018.0,63.0,203.0,124.0,0.0,390.0,83.0,1641.0,1285.0,1.0,3010.0,3400.0
DeKalb,Decatur,1937.0,38.0,99.0,46.0,0.0,183.0,66.0,849.0,505.0,0.0,1420.0,1603.0
DeKalb,Druid Hills High,2725.0,92.0,123.0,129.0,1.0,345.0,101.0,610.0,634.0,2.0,1347.0,1692.0
DeKalb,East Lake,4139.0,67.0,191.0,70.0,1.0,329.0,202.0,1486.0,921.0,6.0,2615.0,2944.0
DeKalb,Emory South,3241.0,123.0,262.0,151.0,0.0,536.0,127.0,921.0,868.0,6.0,1922.0,2458.0
DeKalb,Emory Road,2290.0,37.0,68.0,62.0,1.0,168.0,111.0,605.0,420.0,7.0,1143.0,1311.0
DeKalb,Fernbank Elem,2125.0,88.0,161.0,138.0,2.0,389.0,80.0,626.0,723.0,1.0,1430.0,1819.0
DeKalb,Flat Shoals Elem,2409.0,18.0,25.0,10.0,0.0,53.0,195.0,627.0,413.0,5.0,1240.0,1293.0
DeKalb,Flat Shoals,2649.0,20.0,27.0,12.0,0.0,59.0,179.0,637.0,454.0,5.0,1275.0,1334.0
DeKalb,Flat Shoals Library,2788.0,18.0,33.0,9.0,0.0,60.0,230.0,713.0,419.0,2.0,1364.0,1424.0
DeKalb,Glennwood,2715.0,22.0,59.0,44.0,1.0,126.0,42.0,369.0,447.0,3.0,861.0,987.0
DeKalb,Gresham Road,3601.0,28.0,67.0,40.0,2.0,137.0,201.0,1138.0,771.0,14.0,2124.0,2261.0
DeKalb,Harris-Margaret Harris ED,1462.0,62.0,83.0,69.0,1.0,215.0,98.0,453.0,297.0,4.0,852.0,1067.0
DeKalb,Johnson Estates,1600.0,59.0,170.0,129.0,0.0,358.0,28.0,467.0,514.0,0.0,1009.0,1367.0
DeKalb,Kelley Lake Elem,3015.0,21.0,42.0,30.0,0.0,93.0,267.0,742.0,573.0,3.0,1585.0,1678.0
DeKalb,Knollwood,2546.0,45.0,44.0,20.0,2.0,111.0,242.0,651.0,463.0,6.0,1362.0,1473.0
DeKalb,Lavista Road,2223.0,104.0,191.0,183.0,1.0,479.0,91.0,511.0,600.0,3.0,1205.0,1684.0
DeKalb,Lavista,3223.0,128.0,249.0,188.0,3.0,568.0,156.0,790.0,590.0,6.0,1542.0,2110.0
DeKalb,Lin-Mary Lin Elem,3009.0,81.0,195.0,125.0,3.0,404.0,101.0,1010.0,888.0,4.0,2003.0,2407.0
DeKalb,McNair High,4160.0,50.0,88.0,55.0,0.0,193.0,259.0,1402.0,967.0,6.0,2634.0,2827.0
DeKalb,McNair,2794.0,23.0,47.0,29.0,2.0,101.0,171.0,809.0,595.0,6.0,1581.0,1682.0
DeKalb,Montclair Elem,2194.0,72.0,101.0,29.0,0.0,202.0,177.0,605.0,233.0,4.0,1019.0,1221.0
DeKalb,Meadowview,3511.0,31.0,43.0,37.0,2.0,113.0,203.0,977.0,749.0,11.0,1940.0,2053.0
DeKalb,McNair Academy,1900.0,21.0,34.0,8.0,1.0,64.0,129.0,610.0,455.0,3.0,1197.0,1261.0
DeKalb,Metropolitan,3405.0,31.0,126.0,53.0,2.0,212.0,168.0,1322.0,736.0,5.0,2231.0,2443.0
DeKalb,Oakhurst,2398.0,50.0,99.0,58.0,0.0,207.0,93.0,1016.0,711.0,3.0,1823.0,2030.0
DeKalb,Oak View Elem,5011.0,13.0,58.0,24.0,0.0,95.0,354.0,1697.0,747.0,10.0,2808.0,2903.0
DeKalb,Ponce de Leon,3766.0,56.0,110.0,135.0,0.0,301.0,97.0,873.0,1534.0,12.0,2516.0,2817.0
DeKalb,Piney Grove,2018.0,17.0,44.0,16.0,0.0,77.0,152.0,506.0,341.0,5.0,1004.0,1081.0
DeKalb,Terry Mill,2808.0,23.0,55.0,21.0,1.0,100.0,219.0,943.0,599.0,4.0,1765.0,1865.0
DeKalb,Toney Elem,1729.0,14.0,20.0,17.0,1.0,52.0,146.0,450.0,354.0,3.0,953.0,1005.0
DeKalb,Wadsworth,3159.0,5.0,8.0,8.0,0.0,21.0,67.0,252.0,220.0,1.0,540.0,561.0
DeKalb,Winnona Park,2020.0,31.0,119.0,67.0,0.0,217.0,38.0,810.0,570.0,1.0,1419.0,1636.0
DeKalb,Woodward,3193.0,87.0,300.0,211.0,2.0,600.0,117.0,862.0,731.0,1.0,1711.0,2311.0
