County,Precinct,Registered Voters,Rick W. Allen (I) (Rep)_Election Day Votes,Rick W. Allen (I) (Rep)_Advanced Voting Votes,Rick W. Allen (I) (Rep)_Absentee by Mail Votes,Rick W. Allen (I) (Rep)_Provisional Votes,Rick W. Allen (I) (Rep)_Choice Total,Liz Johnson (Dem)_Election Day Votes,Liz Johnson (Dem)_Advanced Voting Votes,Liz Johnson (Dem)_Absentee by Mail Votes,Liz Johnson (Dem)_Provisional Votes,Liz Johnson (Dem)_Choice Total,Total Votes
Coffee,Broxton,2398.0,333.0,762.0,67.0,2.0,1164.0,126.0,137.0,77.0,0.0,340.0,1504.0
Coffee,Nicholls,2115.0,370.0,493.0,64.0,2.0,929.0,93.0,114.0,65.0,1.0,273.0,1202.0
Coffee,West Green,961.0,297.0,244.0,51.0,0.0,592.0,19.0,9.0,7.0,0.0,35.0,627.0
Jenkins,Primary School,974.0,49.0,149.0,49.0,0.0,247.0,89.0,151.0,119.0,0.0,359.0,606.0
Jenkins,Court House,1039.0,44.0,200.0,60.0,0.0,304.0,82.0,154.0,111.0,0.0,347.0,651.0
Jenkins,Perkins,1021.0,131.0,321.0,86.0,3.0,541.0,31.0,63.0,56.0,0.0,150.0,691.0
Jenkins,Senior Citizens Center,974.0,145.0,355.0,93.0,0.0,593.0,18.0,49.0,34.0,0.0,101.0,694.0
Jenkins,Four Points,1058.0,207.0,212.0,70.0,0.0,489.0,62.0,95.0,66.0,1.0,224.0,713.0
Burke,Alexander,389.0,85.0,61.0,14.0,0.0,160.0,23.0,16.0,66.0,0.0,105.0,265.0
Burke,Four Points,2558.0,449.0,501.0,147.0,0.0,1097.0,125.0,218.0,148.0,0.0,491.0,1588.0
Burke,Girard,733.0,106.0,77.0,40.0,0.0,223.0,93.0,57.0,83.0,0.0,233.0,456.0
Burke,Gough,434.0,41.0,60.0,18.0,0.0,119.0,49.0,39.0,96.0,0.0,184.0,303.0
Burke,Greenscut,1036.0,144.0,221.0,43.0,0.0,408.0,80.0,94.0,87.0,0.0,261.0,669.0
Burke,Keysville,476.0,63.0,44.0,15.0,0.0,122.0,95.0,8.0,32.0,0.0,135.0,257.0
Burke,Midville,492.0,92.0,20.0,12.0,0.0,124.0,83.0,25.0,63.0,0.0,171.0,295.0
Burke,Munnerlyn,299.0,62.0,48.0,3.0,0.0,113.0,23.0,25.0,29.0,0.0,77.0,190.0
Burke,Sardis,1049.0,213.0,121.0,57.0,0.0,391.0,123.0,76.0,51.0,0.0,250.0,641.0
Burke,Scotts Crossroads,294.0,39.0,20.0,5.0,0.0,64.0,37.0,37.0,44.0,0.0,118.0,182.0
Burke,Telfair,1121.0,158.0,170.0,56.0,0.0,384.0,64.0,124.0,116.0,0.0,304.0,688.0
Burke,St Clair,442.0,68.0,84.0,25.0,0.0,177.0,38.0,35.0,57.0,0.0,130.0,307.0
Burke,Vidette,313.0,75.0,23.0,11.0,0.0,109.0,37.0,15.0,43.0,0.0,95.0,204.0
Burke,North Waynesboro,2949.0,88.0,344.0,73.0,0.0,505.0,257.0,470.0,493.0,0.0,1220.0,1725.0
Burke,South Waynesboro,3290.0,233.0,920.0,162.0,0.0,1315.0,206.0,434.0,315.0,0.0,955.0,2270.0
Burke,Blakeney,681.0,35.0,117.0,10.0,0.0,162.0,69.0,91.0,70.0,0.0,230.0,392.0
Toombs,15361 Lyons,0.0,306.0,1080.0,266.0,0.0,1652.0,122.0,247.0,167.0,0.0,536.0,2188.0
Toombs,39 Newbranch,0.0,324.0,501.0,109.0,0.0,934.0,11.0,30.0,67.0,0.0,108.0,1042.0
Toombs,43 Cedar Crossing,0.0,346.0,448.0,108.0,0.0,902.0,23.0,21.0,23.0,1.0,68.0,970.0
Toombs,513 VPD,0.0,484.0,1761.0,489.0,4.0,2738.0,225.0,521.0,435.0,1.0,1182.0,3920.0
Toombs,514 STIALC,0.0,326.0,1048.0,274.0,2.0,1650.0,174.0,364.0,305.0,1.0,844.0,2494.0
Treutlen,Annex,0.0,243.0,858.0,160.0,0.0,1261.0,10.0,78.0,38.0,0.0,126.0,1387.0
Treutlen,Soperton,0.0,162.0,525.0,119.0,0.0,806.0,101.0,398.0,238.0,0.0,737.0,1543.0
Evans,Veterans Community Center,6135.0,474.0,1917.0,508.0,0.0,2899.0,217.0,688.0,312.0,0.0,1217.0,4116.0
