County,Precinct,Registered Voters,Don Cole (Rep)_Election Day Votes,Don Cole (Rep)_Advanced Voting Votes,Don Cole (Rep)_Absentee by Mail Votes,Don Cole (Rep)_Provisional Votes,Don Cole (Rep)_Choice Total,Sanford Bishop (I) (Dem)_Election Day Votes,Sanford Bishop (I) (Dem)_Advanced Voting Votes,Sanford Bishop (I) (Dem)_Absentee by Mail Votes,Sanford Bishop (I) (Dem)_Provisional Votes,Sanford Bishop (I) (Dem)_Choice Total,Total Votes
Grady,Spence,758.0,194.0,174.0,64.0,0.0,432.0,33.0,33.0,30.0,0.0,96.0,528.0
Grady,Spring Hill,561.0,107.0,194.0,46.0,0.0,347.0,20.0,28.0,28.0,0.0,76.0,423.0
Grady,Whigham,1226.0,206.0,297.0,82.0,0.0,585.0,55.0,112.0,62.0,0.0,229.0,814.0
Grady,Woodland,2309.0,282.0,848.0,182.0,0.0,1312.0,64.0,184.0,111.0,0.0,359.0,1671.0
Crisp,Arabi,785.0,147.0,245.0,38.0,0.0,430.0,47.0,55.0,31.0,0.0,133.0,563.0
Crisp,Coney,859.0,124.0,404.0,77.0,0.0,605.0,18.0,49.0,39.0,0.0,106.0,711.0
Crisp,Cordele,8897.0,256.0,1703.0,422.0,4.0,2385.0,530.0,1426.0,788.0,0.0,2744.0,5129.0
Crisp,Jamestown,1196.0,198.0,479.0,129.0,0.0,806.0,26.0,63.0,45.0,1.0,135.0,941.0
Crisp,Listonia,817.0,191.0,298.0,76.0,0.0,565.0,6.0,14.0,19.0,0.0,39.0,604.0
Miller,Colquitt-Miller,3912.0,478.0,1152.0,236.0,2.0,1868.0,208.0,422.0,241.0,0.0,871.0,2739.0
Calhoun,Leary,721.0,60.0,93.0,23.0,0.0,176.0,110.0,111.0,119.0,0.0,340.0,516.0
Calhoun,Morgan,662.0,67.0,150.0,42.0,0.0,259.0,41.0,105.0,82.0,0.0,228.0,487.0
Calhoun,Edison,523.0,15.0,27.0,5.0,0.0,47.0,81.0,103.0,70.0,0.0,254.0,301.0
